Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Jul-19,301,4:15:00 AM,Monday,Lakeshore and Parklawn,Mechanical,15,30,W/B,4001
1-Jul-19,505,5:14:00 AM,Monday,Dundas West,Late Leaving Garage,10,1,E/B,1130
1-Jul-19,501,6:26:00 AM,Monday,Sunnyside Loop,Mechanical,14,32,W/B,4501
1-Jul-19,501,6:52:00 AM,Monday,Russell Yard,Mechanical,9,18,E/B,4437
1-Jul-19,509,7:36:00 AM,Monday,Bathurst and Fleet,Mechanical,9,18,W/B,4496
1-Jul-19,512,8:08:00 AM,Monday,Oakwood and St Clair,Emergency Services,6,12,B/W,4544
1-Jul-19,501,8:54:00 AM,Monday,Sunnyside Loop,Mechanical,7,16,W/B,4437
1-Jul-19,501,9:25:00 AM,Monday,Kipling Loop,Mechanical,10,20,W/B,4052
1-Jul-19,506,10:28:00 AM,Monday,Sherbourne and College,Investigation,8,16,W/B,4074
1-Jul-19,506,11:08:00 AM,Monday,Coxwell and Gerrard,Mechanical,6,13,W/B,4098
1-Jul-19,501,11:11:00 AM,Monday,Queen and Shaw,Mechanical,9,17,W/B,4455
1-Jul-19,501,11:18:00 AM,Monday,Sunnyside Loop[,Mechanical,9,17,W/B,4486
1-Jul-19,505,11:25:00 AM,Monday,Dundas and University,Diversion,24,29,W/B,1061
1-Jul-19,504,12:03:00 PM,Monday,John-University,Held By,10,18,E/B,4536
1-Jul-19,501,12:50:00 PM,Monday,Queen and University,Investigation,8,14,E/B,4465
1-Jul-19,510,1:16:00 PM,Monday,Spadina and Front,Diversion,7,11,S/B,4554
1-Jul-19,506,1:27:00 PM,Monday,College and Yonge,Investigation,8,16,E/B,4179
1-Jul-19,501,1:42:00 PM,Monday,queen/yonge,Held By,38,43,B/W,4492
1-Jul-19,510,2:00:00 PM,Monday,Sussex,General Delay,12,16,N/B,4503
1-Jul-19,509,2:06:00 PM,Monday,Ex loop,General Delay,10,16,B/W,4434
1-Jul-19,505,3:32:00 PM,Monday,Broadview Stn,Mechanical,6,12,W/B,8940
1-Jul-19,505,4:04:00 PM,Monday,Sorauren,Mechanical,6,12,W/B,9233
1-Jul-19,501,4:55:00 PM,Monday,sunnyside loop,Mechanical,5,10,E/B,4523
1-Jul-19,512,5:23:00 PM,Monday,St. Clair West STN,Emergency Services,6,12,E/B,4430
1-Jul-19,501,5:50:00 PM,Monday,queen/shaw,Investigation,5,10,E/B,4472
1-Jul-19,509,8:08:00 PM,Monday,Fleet and Fort York,Emergency Services,1,2,E/B,4539
1-Jul-19,512,8:31:00 PM,Monday,St. Clair West STN,Emergency Services,5,12,E/B,4534
1-Jul-19,505,8:59:00 PM,Monday,Dundas & Roncesvalles,Mechanical,8,16,E/B,9210
1-Jul-19,506,10:00:00 PM,Monday,Main STN to Bathurst,General Delay,20,15,B/W,
1-Jul-19,509,10:00:00 PM,Monday,CNE to UNION STN,General Delay,15,10,B/W,
1-Jul-19,504,11:05:00 PM,Monday,King & John,Investigation,10,20,W/B,4429
1-Jul-19,510,11:18:00 PM,Monday,Spadina Station,General Delay,7,14,S/B,4412
1-Jul-19,511,11:59:00 PM,Monday,Bathurst and nassau,Investigation,68,77,S/B,4156
2-Jul-19,501,6:11:00 AM,Tuesday,Sunnyside Loop,Mechanical,6,13,W/B,4456
2-Jul-19,510,7:05:00 AM,Tuesday,King / Spadina,Mechanical,4,8,W/B,4481
2-Jul-19,501,8:48:00 AM,Tuesday,Sunnyside Loop,Mechanical,6,,E/B,7928
2-Jul-19,505,9:05:00 AM,Tuesday,Dundas and Dufferin,General Delay,8,14,W/B,8479
2-Jul-19,504,2:09:00 PM,Tuesday,King and Unversity,Investigation,20,27,W/B,4547
2-Jul-19,512,2:41:00 PM,Tuesday,Dufferin   St Clair West,Emergency Services,14,18,W/B,4484
2-Jul-19,501,3:16:00 PM,Tuesday,Queen and Bathurst,Investigation,9,18,E/B,4502
2-Jul-19,511,3:18:00 PM,Tuesday,Dundas,Investigation,32,38,N/B,4098
2-Jul-19,506,5:08:00 PM,Tuesday,College and Queens Park,Emergency Services,4,10,W/B,4104
2-Jul-19,501,6:39:00 PM,Tuesday,Humber Loop,Mechanical,10,20,W/B,4103
2-Jul-19,501,7:07:00 PM,Tuesday,Humber loop,Mechanical,10,20,E/B,4131
2-Jul-19,501,8:42:00 PM,Tuesday,Broadview and Queen,Diversion,62,68,E/B,4429
2-Jul-19,504,8:42:00 PM,Tuesday,Broadview and Queen,Investigation,25,33,E/B,4532
2-Jul-19,501,8:58:00 PM,Tuesday,Dufferin and Queen,Held By,48,54,E/B,4469
2-Jul-19,505,10:15:00 PM,Tuesday,Dundas and Yonge,Emergency Services,4,9,W/B,1051
2-Jul-19,509,11:08:00 PM,Tuesday,Queens Quay and lower Sincoe,Mechanical,8,16,E/B,4528
2-Jul-19,506,11:30:00 PM,Tuesday,Carlton and Parliament,Mechanical,12,16,E/B,4119
3-Jul-19,501,12:47:00 AM,Wednesday,Humber loop,Mechanical,9,18,W/B,4525
3-Jul-19,512,1:44:00 AM,Wednesday,Yonge and St Clair,Emergency Services,27,34,W/B,4425
3-Jul-19,301,2:52:00 AM,Wednesday,Kipling loop,Investigation,4,8,E/B,4442
3-Jul-19,506,6:30:00 AM,Wednesday,Gerrard and Norwood,Held By,16,24,B/W,4155
3-Jul-19,510,6:37:00 AM,Wednesday,King / Spadina,Mechanical,8,16,N/B,4513
3-Jul-19,504,6:38:00 AM,Wednesday,Distillery Loop,Utilized Off Route,8,16,E/B,4522
3-Jul-19,506,7:18:00 AM,Wednesday,High Park Loop,Mechanical,54,60,E/B,4192
3-Jul-19,501,7:51:00 AM,Wednesday,Woodbine Loop,Mechanical,6,12,W/B,8912
3-Jul-19,505,9:11:00 AM,Wednesday,Dundas and River,General Delay,12,16,E/B,8549
3-Jul-19,511,10:25:00 AM,Wednesday,CNE Loop,Investigation,6,12,E/B,4186
3-Jul-19,510,11:29:00 AM,Wednesday,Spadina Stn,Investigation,11,15,S/B,4467
3-Jul-19,504,1:13:00 PM,Wednesday,Roncesvalles and Geoffrey,Emergency Services,10,17,W/B,4483
3-Jul-19,501,4:10:00 PM,Wednesday,Humber loop,Mechanical,7,14,E/B,4533
3-Jul-19,505,6:35:00 PM,Wednesday,Broadview Station,Mechanical,6,12,W/B,3122
3-Jul-19,506,7:52:00 PM,Wednesday,College and Crawford,Mechanical,12,16,W/B,4135
3-Jul-19,805,10:17:00 PM,Wednesday,Yonge and Queen,Held By,6,12,E/B,4488
4-Jul-19,504,12:07:00 AM,Thursday,Bathurst and king,Investigation,7,15,E/B,4457
4-Jul-19,504,12:22:00 AM,Thursday,Dundas west station,Investigation,1,2,E/B,4430
4-Jul-19,306,2:35:00 AM,Thursday,College and Lansdowne,Mechanical,3,6,E/B,4040
4-Jul-19,504,4:13:00 AM,Thursday,Leslie Barns,Late Leaving Garage,2,1,W/B,4437
4-Jul-19,504,4:13:00 AM,Thursday,Leslie Barns,Late Leaving Garage,2,1,W/B,4437
4-Jul-19,304,4:32:00 AM,Thursday,King/Dufferin,Investigation,19,34,B/W,4461
4-Jul-19,512,5:08:00 AM,Thursday,St Clair/Bathurst,Held By,11,18,W/B,4552
4-Jul-19,504,7:56:00 AM,Thursday,Dufferin Loop,Mechanical,6,11,E/B,4532
4-Jul-19,506,8:55:00 AM,Thursday,Ontario an Carlton,Mechanical,9,9,W/B,7927
4-Jul-19,504,9:13:00 AM,Thursday,Distillery Loop,Mechanical,5,11,W/B,4436
4-Jul-19,511,10:40:00 AM,Thursday,Bathurst & Dundas,Investigation,448,454,S/B,4498
4-Jul-19,511,10:40:00 AM,Thursday,Bathurst and Dundas,Investigation,448,454,S/B,4498
4-Jul-19,504,11:10:00 AM,Thursday,Broadview/Dundas,Mechanical,7,15,W/B,4533
4-Jul-19,504,11:12:00 AM,Thursday,Dufferin/Springhurst,Mechanical,9,16,E/B,4547
4-Jul-19,504,11:29:00 AM,Thursday,King/Dufferin,Mechanical,7,15,E/B,4572
4-Jul-19,505,12:30:00 PM,Thursday,Broadview Station,Mechanical,4,8,N/B,3109
4-Jul-19,505,1:12:00 PM,Thursday,Dundas and Ossington,Investigation,4,8,W/B,1048
4-Jul-19,501,1:32:00 PM,Thursday,Queen nand Broadveiw,Mechanical,7,14,W/B,4416
4-Jul-19,505,1:47:00 PM,Thursday,DWS,Investigation,4,8,W/B,1097
4-Jul-19,505,2:03:00 PM,Thursday,Ossington,Investigation,4,8,W/B,1048
4-Jul-19,505,2:41:00 PM,Thursday,Broadview Station,Mechanical,4,8,W/B,1044
4-Jul-19,505,2:47:00 PM,Thursday,River Street,General Delay,12,16,W/B,1097
4-Jul-19,512,4:08:00 PM,Thursday,St Clair West  Gunns Loop,Investigation,41,49,W/B,4535
4-Jul-19,501,4:52:00 PM,Thursday,Queen and Coxwell,Overhead - Pantograph,123,130,W/B,4413
4-Jul-19,505,4:56:00 PM,Thursday,Broadview Ave,Utilized Off Route,4,8,E/B,8935
4-Jul-19,502,5:04:00 PM,Thursday,Kingston Rd,Utilized Off Route,12,24,E/B,8495
4-Jul-19,504,7:32:00 PM,Thursday,Dufferin Loop,Mechanical,20,27,E/B,4486
4-Jul-19,501,9:26:00 PM,Thursday,Parliament and Queen,Emergency Services,7,14,W/B,4439
4-Jul-19,501,10:08:00 PM,Thursday,Hambly and Queen,Mechanical,7,14,E/B,4454
5-Jul-19,504,1:26:00 AM,Friday,King and portland,Investigation,6,14,E/B,4488
5-Jul-19,501,6:06:00 AM,Friday,Queen And Roncesvalles,Mechanical,10,19,W/B,4176
5-Jul-19,505,6:51:00 AM,Friday,Broadview Station,Mechanical,4,8,E/B,3104
5-Jul-19,504,7:01:00 AM,Friday,Leslie Barns,Late Leaving Garage,8,12,W/B,4440
5-Jul-19,512,7:26:00 AM,Friday,SCW station,Investigation,16,20,W/B,4536
5-Jul-19,506,7:41:00 AM,Friday,College and Brock,Investigation,46,52,E/B,4160
5-Jul-19,504,7:51:00 AM,Friday,King/Jarvis,Mechanical,10,15,W/B,4462
5-Jul-19,504,8:53:00 AM,Friday,Dundas w stn,Mechanical,5,10,E/B,4462
5-Jul-19,506,8:53:00 AM,Friday,Gerrard and Sackville,Mechanical,5,10,E/B,4145
5-Jul-19,501,9:35:00 AM,Friday,Queen and Roncesvalles,Mechanical,5,10,,8871
5-Jul-19,505,9:37:00 AM,Friday,Broadview and Dundas,General Delay,10,14,E/B,8580
5-Jul-19,506,10:01:00 AM,Friday,High Park Loop,Investigation,5,10,E/B,4091
5-Jul-19,502,12:44:00 PM,Friday,Bingham Loop,Mechanical,12,24,E/B,8557
5-Jul-19,509,2:00:00 PM,Friday,Union Station Tunnel,Overhead - Pantograph,293,300,W/B,4535
5-Jul-19,506,2:23:00 PM,Friday,Ashdale and College,Mechanical,5,10,W/B,4100
5-Jul-19,505,2:25:00 PM,Friday,Bay Street,Utilized Off Route,4,8,W/B,1115
5-Jul-19,505,3:54:00 PM,Friday,Broadview Stn,Mechanical,4,8,W/B,3104
5-Jul-19,501,3:59:00 PM,Friday,Queen and York,Investigation,8,15,E/B,4501
5-Jul-19,506,4:27:00 PM,Friday,Dovercourt and College,Mechanical,1,1,E/B,4145
5-Jul-19,506,9:39:00 PM,Friday,Gerrard and Carlaw,Mechanical,62,69,E/B,4123
6-Jul-19,301,1:53:00 AM,Saturday,Queen & John,Investigation,9,18,W/B,4516
6-Jul-19,512,2:19:00 AM,Saturday,Bathurst & Barton,Held By,1,2,S/B,4520
6-Jul-19,306,2:58:00 AM,Saturday,Carlton and sherbourne,Emergency Services,30,60,E/B,4068
6-Jul-19,505,7:31:00 AM,Saturday,Broadview Station,Mechanical,10,19,,8558
