Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Jun-19,501,12:27:00 AM,Saturday,Queen and Bay,Held By,16,21,W/B,4474
1-Jun-19,510,1:26:00 AM,Saturday,Spadina station,Emergency Services,11,18,N/B,4431
1-Jun-19,504,8:33:00 AM,Saturday,Roncesvalles and Queen,Mechanical,5,10,N/B,4480
1-Jun-19,504,9:24:00 AM,Saturday,Bloor and Dundas,Held By,4,8,E/B,4426
1-Jun-19,504,9:36:00 AM,Saturday,King and Sudbury,Held By,8,12,B/W,4501
1-Jun-19,511,10:07:00 AM,Saturday,Bathurst and King,Diversion,15,20,B/W,1370
1-Jun-19,511,11:11:00 AM,Saturday,Bathurst Station,Mechanical,6,12,N/B,1283
1-Jun-19,506,12:16:00 PM,Saturday,MAIN STATION,Mechanical,6,12,W/B,4133
1-Jun-19,504,1:25:00 PM,Saturday,Dundas West STN,Held By,6,12,S/B,4504
1-Jun-19,512,3:14:00 PM,Saturday,St Clair W and Dufferin,Investigation,27,32,W/B,4544
1-Jun-19,512,4:05:00 PM,Saturday,St Vlair and Winona,Mechanical,7,12,W/B,4407
1-Jun-19,501,4:47:00 PM,Saturday,Lakshore Bld West   28 th,Investigation,69,79,E/B,4020
1-Jun-19,505,5:23:00 PM,Saturday,DWS,General Delay,16,12,E/B,1102
1-Jun-19,506,5:32:00 PM,Saturday,College and Dufferin,Mechanical,8,16,E/B,4165
1-Jun-19,506,7:44:00 PM,Saturday,Gerrard and Coxwell,Mechanical,1,2,E/B,4114
1-Jun-19,505,8:24:00 PM,Saturday,Broadview Station,Investigation,5,10,W/B,7951
1-Jun-19,501,8:44:00 PM,Saturday,Sunnyside loop,Mechanical,7,14,W/B,4155
1-Jun-19,505,10:07:00 PM,Saturday,Dundas West Stn,Mechanical,9,18,E/B,7946
1-Jun-19,509,10:20:00 PM,Saturday,Fleet loop,Emergency Services,9,18,E/B,4460
1-Jun-19,504,11:08:00 PM,Saturday,Disterilly Loop,Mechanical,8,16,W/B,4449
2-Jun-19,505,1:08:00 AM,Sunday,Dundas & Bathurst,Investigation,8,16,W/B,7940
2-Jun-19,301,4:24:00 AM,Sunday,Lakeshore/Legion,General Delay,64,84,E/B,4145
2-Jun-19,501,4:28:00 AM,Sunday,Russel Yard,Mechanical,4,6,E/B,4131
2-Jun-19,510,4:53:00 AM,Sunday,Leslie Barns,Late Leaving Garage,1,1,W/B,4529
2-Jun-19,505,5:41:00 AM,Sunday,SPADINA TO BATHURST`,Held By,26,38,B/W,7942
2-Jun-19,506,5:41:00 AM,Sunday,Main & Danforth,Mechanical,12,19,W/B,4186
2-Jun-19,501,9:24:00 AM,Sunday,Queen/Lansdowne to Roncesvalles,General Delay,10,16,B/W,4507
2-Jun-19,504,9:59:00 AM,Sunday,Queen and Brodview,Held By,4,10,W/B,4518
2-Jun-19,509,10:23:00 AM,Sunday,Bathurst and Fleet,Mechanical,7,14,W/B,4510
2-Jun-19,511,10:49:00 AM,Sunday,Bathurst Stn to CNE Loop,General Delay,10,15,B/W,1242
2-Jun-19,512,10:53:00 AM,Sunday,King and Spadina,Mechanical,8,16,N/B,4528
2-Jun-19,505,11:00:00 AM,Sunday,Broadview Stn to Dundas W. Stn,General Delay,10,15,B/W,1417
2-Jun-19,501,11:53:00 AM,Sunday,QUEEN/LESLIE,General Delay,6,30,W/B,4457
2-Jun-19,510,11:59:00 AM,Sunday,Bathurst and Fleet,Mechanical,7,14,W/B,4431
2-Jun-19,504,12:45:00 PM,Sunday,Dufferin to Dundas West,General Delay,30,15,B/W,
2-Jun-19,506,12:50:00 PM,Sunday,Roncesvalles to Bathurst,General Delay,9,17,B/W,4117
2-Jun-19,506,1:11:00 PM,Sunday,Gerrard and Coxwel,Mechanical,8,16,W/B,4068
2-Jun-19,506,5:40:00 PM,Sunday,High Park loop,Mechanical,8,16,E/B,4117
2-Jun-19,504,7:08:00 PM,Sunday,king and Niagara,Held By,5,9,E/B,4490
2-Jun-19,505,8:32:00 PM,Sunday,Dundas St,General Delay,4,12,B/W,7945
2-Jun-19,511,8:32:00 PM,Sunday,Bathurst st,General Delay,7,14,B/W,1275
2-Jun-19,505,10:29:00 PM,Sunday,Bay and Dundas,Diversion,61,68,B/W,1082
3-Jun-19,502,5:32:00 AM,Monday,Bingham Loop,Mechanical,12,24,W/B,8934
3-Jun-19,512,5:35:00 AM,Monday,Roncesvalles Yard,Held By,3,4,E/B,4408
3-Jun-19,504,6:09:00 AM,Monday,Roncesvalles Yard,Held By,5,13,N/B,4479
3-Jun-19,506,8:54:00 AM,Monday,Gerrard & River.,Investigation,16,22,W/B,4164
3-Jun-19,505,9:12:00 AM,Monday,Dundas and Lansdowne,Mechanical,4,8,W/B,7938
3-Jun-19,505,9:20:00 AM,Monday,Broadview Station to Dundas W. Stn,General Delay,,,B/W,7938
3-Jun-19,510,9:35:00 AM,Monday,Spadina Station,Mechanical,8,16,S/B,4452
3-Jun-19,501,9:55:00 AM,Monday,Connaught,Mechanical,6,12,E/B,4333
3-Jun-19,506,11:08:00 AM,Monday,College & Spadina,Emergency Services,12,18,W/B,4124
3-Jun-19,506,11:42:00 AM,Monday,Dundas & Lansdowne,Investigation,5,10,E/B,4040
3-Jun-19,705,12:00:00 PM,Monday,Leslie and Lakeshore,Late Leaving Garage,1,1,W/B,4499
3-Jun-19,510,12:15:00 PM,Monday,Spadina Station,Investigation,9,17,S/B,4539
3-Jun-19,505,12:30:00 PM,Monday,Dundas West Station.,Mechanical,6,12,W/B,1123
3-Jun-19,505,1:20:00 PM,Monday,Bathurst Street,General Delay,5,10,E/B,1360
3-Jun-19,501,1:21:00 PM,Monday,Claremount / Queen,Investigation,20,26,W/B,4024
3-Jun-19,805,1:21:00 PM,Monday,Bay and Dundas,Mechanical,1,2,E/B,4195
3-Jun-19,512,1:44:00 PM,Monday,Overhead Truck holding at around S Bend at Roncesvalles Yard,Mechanical,5,0,W/B,4528
3-Jun-19,512,1:55:00 PM,Monday,Lost Pole around S Bend at Roncesvalles Yard,Mechanical,0,0,W/B,4514
3-Jun-19,505,1:56:00 PM,Monday,Broadview Station,Mechanical,5,8,WB,1418
3-Jun-19,505,2:35:00 PM,Monday,Bay Street,General Delay,4,6,W/B,7946
3-Jun-19,504,2:37:00 PM,Monday,Broadview and Queen,Held By,5,10,W/B,4533
3-Jun-19,505,2:50:00 PM,Monday,Parliament,General Delay,5,10,W/B,7937
3-Jun-19,504,3:40:00 PM,Monday,Dundas and Bloor,General Delay,15,10,W/B,4521
3-Jun-19,505,4:25:00 PM,Monday,Broadview Station,General Delay,0,4,WB,3112
3-Jun-19,504,4:29:00 PM,Monday,King and Jefferson,Mechanical,6,12,W/B,4536
3-Jun-19,509,6:02:00 PM,Monday,CNE Loop,Mechanical,7,14,E/B,4526
3-Jun-19,501,6:24:00 PM,Monday,Colbourne lodge / Queen,Held By,326,331,E/B,4069
3-Jun-19,510,7:25:00 PM,Monday,Spadina and Harbord,Mechanical,17,20,S/B,4480
3-Jun-19,506,7:33:00 PM,Monday,college/ossington,Investigation,5,10,W/B,4155
3-Jun-19,505,8:42:00 PM,Monday,Dundas,General Delay,4,8,B/W,1416
3-Jun-19,501,10:04:00 PM,Monday,Parliament,Mechanical,6,12,W/B,4114
3-Jun-19,504,10:27:00 PM,Monday,King and Spadina,General Delay,58,68,B/W,4464
3-Jun-19,504,10:27:00 PM,Monday,King and Church,General Delay,58,68,W/B,4506
3-Jun-19,504,10:28:00 PM,Monday,King and Spadina,General Delay,58,68,E/B,4464
3-Jun-19,506,10:56:00 PM,Monday,Gerrard and Greenwood,Diversion,14,20,B/W,4145
3-Jun-19,511,11:33:00 PM,Monday,Bathurst Station,Mechanical,4,8,S/B,1367
4-Jun-19,506,12:15:00 AM,Tuesday,Kingsmount and Gerrard,Mechanical,13,20,E/B,7071
4-Jun-19,501,12:19:00 AM,Tuesday,Kipling Loop,Emergency Services,9,18,E/B,4456
4-Jun-19,504,6:02:00 AM,Tuesday,King and Bathurst,Held By,49,58,B/W,4572
4-Jun-19,504,6:39:00 AM,Tuesday,King and dufferin,Mechanical,8,16,N/B,4526
4-Jun-19,715,6:51:00 AM,Tuesday,Lakeshore Blvd  30th,Investigation,1,1,E/B,7923
4-Jun-19,504,7:57:00 AM,Tuesday,Broadview and Queen,Mechanical,6,12,W/B,4508
4-Jun-19,504,8:06:00 AM,Tuesday,Distillery Loop,Emergency Services,6,11,,4518
4-Jun-19,504,8:11:00 AM,Tuesday,,Mechanical,1,1,W/B,1
4-Jun-19,505,8:46:00 AM,Tuesday,Dundas at University to Bay,General Delay,20,26,B/W,9220
4-Jun-19,511,9:20:00 AM,Tuesday,Bathurst and Fleet to Niagara Street,General Delay,15,18,N/B,
4-Jun-19,511,10:31:00 AM,Tuesday,Bathurst Station,Mechanical,4,8,N/B,1246
4-Jun-19,502,11:44:00 AM,Tuesday,Queen and University,Mechanical,12,24,E/B,8954
4-Jun-19,705,12:00:00 PM,Tuesday,Leslie and Lakeshore,Late Leaving Garage,1,1,W/B,4511
4-Jun-19,504,12:45:00 PM,Tuesday,King and Victoria,Emergency Services,11,18,B/W,4450
4-Jun-19,506,2:30:00 PM,Tuesday,college/dufferin,Mechanical,5,10,E/B,4068
4-Jun-19,502,2:49:00 PM,Tuesday,Bingham Loop,Mechanical,10,20,W/B,9207
4-Jun-19,511,4:49:00 PM,Tuesday,Exibition Loop,Mechanical,4,8,N/B,1211
4-Jun-19,504,5:02:00 PM,Tuesday,King and Shaw,Mechanical,24,30,E/B,4437
4-Jun-19,506,5:21:00 PM,Tuesday,college/lanasdowne,Mechanical,5,10,E/B,4131
4-Jun-19,501,6:06:00 PM,Tuesday,Russell Yard,Investigation,5,10,W/B,4164
4-Jun-19,504,6:40:00 PM,Tuesday,King and Douro,Diversion,19,25,E/B,4520
4-Jun-19,504,7:11:00 PM,Tuesday,King and Church,Investigation,7,14,W/B,4533
4-Jun-19,501,7:12:00 PM,Tuesday,Sunnyside Loop,Investigation,10,15,W/B,4170
4-Jun-19,504,9:03:00 PM,Tuesday,King and  Niagaria,Held By,13,21,E/B,4499
4-Jun-19,506,11:10:00 PM,Tuesday,Gerrard & Ashdale,Diversion,179,187,B/W,4069
5-Jun-19,504,12:05:00 AM,Wednesday,Disterilly loop,Mechanical,10,20,W/B,4501
5-Jun-19,506,2:58:00 AM,Wednesday,Dundas and Sterling,Held By,9,18,B/W,4195
5-Jun-19,310,3:17:00 AM,Wednesday,Queen and spadina,Emergency Services,30,60,B/W,4426
5-Jun-19,301,3:18:00 AM,Wednesday,Spadina / Queen,Emergency Services,120,126,B/W,4145
5-Jun-19,510,5:01:00 AM,Wednesday,Spadinqa and King,Emergency Services,61,0,N/B,4465
5-Jun-19,501,5:02:00 AM,Wednesday,Queen and Connaught,Mechanical,5,10,W/B,4021
5-Jun-19,501,5:03:00 AM,Wednesday,Queen And Connaught,Late Leaving Garage,5,10,W/B,4146
5-Jun-19,509,7:29:00 AM,Wednesday,Bathurst and Fleet,Mechanical,6,12,W/B,4534
5-Jun-19,506,7:38:00 AM,Wednesday,High park loop,Mechanical,16,26,E/B,4165
5-Jun-19,506,7:54:00 AM,Wednesday,High park loop,General Delay,11,22,E/B,4040
5-Jun-19,505,9:03:00 AM,Wednesday,Dundas University to Bay,General Delay,,,B/W,1076
5-Jun-19,506,9:46:00 AM,Wednesday,High park loop,Investigation,10,16,E/B,4050
5-Jun-19,504,10:11:00 AM,Wednesday,King and Bathurst,Mechanical,7,13,W/B,4507
5-Jun-19,506,11:15:00 AM,Wednesday,Gerrard/Parliament,Emergency Services,10,16,W/B,4195
5-Jun-19,505,11:27:00 AM,Wednesday,Broadview and Gerrard,Utilized Off Route,6,12,W/B,7949
5-Jun-19,510,11:34:00 AM,Wednesday,Spadina and King,Mechanical,1,1,N/B,4465
5-Jun-19,705,12:00:00 PM,Wednesday,Leslie and Lakeshore,Late Leaving Garage,1,1,W/B,4470
5-Jun-19,506,12:29:00 PM,Wednesday,Main Stn,Mechanical,5,10,W/B,4068
5-Jun-19,504,2:24:00 PM,Wednesday,Broadview Station,Mechanical,6,12,W/B,4434
5-Jun-19,504,2:38:00 PM,Wednesday,King and Jarvis,Held By,14,20,B/W,4497
5-Jun-19,511,2:40:00 PM,Wednesday,bathurst/dundas,Investigation,5,10,S/B,1315
5-Jun-19,509,2:57:00 PM,Wednesday,Spadina and Queens Quay,Utilized Off Route,6,12,E/B,4538
5-Jun-19,509,3:00:00 PM,Wednesday,CNE Loop,Utilized Off Route,6,12,E/B,4573
5-Jun-19,509,3:07:00 PM,Wednesday,CNE to UNION,General Delay,2,8,B/W,
5-Jun-19,504,3:27:00 PM,Wednesday,Roncesvalles and Queen,General Delay,12,9,W/B,4430
5-Jun-19,510,3:34:00 PM,Wednesday,Spadina STN to UNION STN,General Delay,6,12,B/W,
5-Jun-19,506,4:00:00 PM,Wednesday,High Park to Main Stn,General Delay,12,17,B/W,
5-Jun-19,501,4:29:00 PM,Wednesday,The Queenway   Ellis Ave,Mechanical,23,33,W/B,4506
5-Jun-19,501,4:31:00 PM,Wednesday,Lakeshore Blvd  Legion Rd,Investigation,45,55,W/B,4428
5-Jun-19,505,4:50:00 PM,Wednesday,dundas west station,Mechanical,5,10,E/B,1126
5-Jun-19,504,5:00:00 PM,Wednesday,King and Bay,General Delay,9,6,B/W,4518
5-Jun-19,506,6:16:00 PM,Wednesday,Gerrard / Sackville,Held By,46,51,B/W,4190
5-Jun-19,501,9:54:00 PM,Wednesday,Queen Dufferin,Investigation,5,10,W/B,4493
5-Jun-19,504,11:37:00 PM,Wednesday,King and spadina,Diversion,27,35,E/B,4497
5-Jun-19,504,11:37:00 PM,Wednesday,King and church,General Delay,27,35,B/W,4464
5-Jun-19,505,11:44:00 PM,Wednesday,Dundas & Yonge,Diversion,57,62,W/B,1030
6-Jun-19,301,3:18:00 AM,Thursday,Queen and Spadina,Emergency Services,155,162,B/W,4145
6-Jun-19,505,6:16:00 AM,Thursday,DUNDAS/DUFFERIN,Mechanical,4,10,E/B,8464
6-Jun-19,506,7:58:00 AM,Thursday,College and Dovercourt,Investigation,1,1,E/B,4050
6-Jun-19,504,8:07:00 AM,Thursday,King/Ontario,Mechanical,24,29,E/B,4545
6-Jun-19,512,9:35:00 AM,Thursday,St.Clair and Bathurst,Mechanical,5,10,E/B,4496
6-Jun-19,503,9:57:00 AM,Thursday,Queen/Greenwood,Investigation,24,34,E/B,7938
6-Jun-19,501,10:02:00 AM,Thursday,Kingston / Queen,Held By,14,20,E/B,4523
6-Jun-19,501,11:06:00 AM,Thursday,Russell Garage,Investigation,1,1,W/B,4456
6-Jun-19,705,12:00:00 PM,Thursday,Leslie and Lakeshore,Late Leaving Garage,1,1,W/B,4526
6-Jun-19,510,12:58:00 PM,Thursday,Spadina and Wellington,Held By,20,28,N/B,4513
6-Jun-19,504,1:54:00 PM,Thursday,Queen and Broadview,Late Leaving Garage,6,12,W/B,4465
6-Jun-19,501,2:12:00 PM,Thursday,Long Branch Loop,Mechanical,31,41,W/B,4042
6-Jun-19,505,2:20:00 PM,Thursday,dufferin to gladstone on college,Emergency Services,38,43,B/W,1038
6-Jun-19,505,2:22:00 PM,Thursday,broadview station,Late Leaving Garage,5,10,W/B,
6-Jun-19,504,2:25:00 PM,Thursday,Around S Bend at Roncesvalles Yard,Mechanical,0,0,W/B,4440
6-Jun-19,506,2:57:00 PM,Thursday,Coxwell and Gerrard,Mechanical,6,12,E/B,4156
6-Jun-19,506,3:04:00 PM,Thursday,Dufferin to Howard park,General Delay,11,17,B/W,4131
6-Jun-19,505,3:10:00 PM,Thursday,college/gladstone,Investigation,5,10,W/B,9206
6-Jun-19,505,4:00:00 PM,Thursday,dundas west station,Mechanical,5,10,E/B,1614
6-Jun-19,504,4:04:00 PM,Thursday,Distillery Loop,Mechanical,6,12,E/B,4546
6-Jun-19,501,4:21:00 PM,Thursday,Queen Street West Peter Street,Investigation,33,43,W/B,4450
6-Jun-19,501,4:33:00 PM,Thursday,Queen York,Mechanical,113,123,W/B,501
6-Jun-19,504,4:46:00 PM,Thursday,King and Dowling,Mechanical,1,2,E/B,4528
6-Jun-19,504,5:44:00 PM,Thursday,Roncesvalles and Wright,Mechanical,13,19,E/B,4475
6-Jun-19,506,5:55:00 PM,Thursday,Grace and College,Mechanical,20,26,W/B,4160
6-Jun-19,504,6:02:00 PM,Thursday,King and Dufferin,Mechanical,2,4,E/B,4469
6-Jun-19,506,7:08:00 PM,Thursday,Yonge and College,Investigation,7,13,E/B,4068
6-Jun-19,506,7:57:00 PM,Thursday,Broadview and Gerrard,Held By,1,1,E/B,4069
6-Jun-19,504,7:58:00 PM,Thursday,Broadview and Gerrard,Held By,10,14,E/B,4429
6-Jun-19,511,8:28:00 PM,Thursday,Bathurst Street,General Delay,5,10,B/W,8119
6-Jun-19,505,8:29:00 PM,Thursday,Dundas And Spadina,General Delay,4,8,B/W,9228
6-Jun-19,501,8:41:00 PM,Thursday,Humber Loop,Investigation,5,10,E/B,4548
6-Jun-19,501,10:05:00 PM,Thursday,Queen   Leslie,Held By,17,27,W/B,4133
6-Jun-19,506,10:15:00 PM,Thursday,Broadview and Gerrard,Mechanical,16,22,E/B,4195
6-Jun-19,504,11:37:00 PM,Thursday,King and church,Diversion,27,35,W/B,4464
7-Jun-19,506,12:40:00 AM,Friday,Dundas and Howard Park,Investigation,8,16,E/B,4104
7-Jun-19,506,12:40:00 AM,Friday,Parliament and Gerrard,Investigation,8,16,E/B,4104
7-Jun-19,504,12:59:00 AM,Friday,Disterilly loop,Mechanical,9,18,W/B,4528
7-Jun-19,304,3:21:00 AM,Friday,Broadview station,Emergency Services,15,30,E/B,4412
7-Jun-19,501,4:52:00 AM,Friday,Queen/Parliament,Held By,10,17,B/W,4546
7-Jun-19,504,5:47:00 AM,Friday,King/Parliament,Investigation,15,27,E/B,4480
7-Jun-19,506,7:23:00 AM,Friday,Carlton & Jarvis,Held By,533,539,B/W,4191
7-Jun-19,510,7:51:00 AM,Friday,Spadina and King,Mechanical,4,8,N/B,4538
7-Jun-19,505,8:01:00 AM,Friday,Broadview station,Utilized Off Route,4,8,W/B,7949
7-Jun-19,505,8:01:00 AM,Friday,Broadview station,Utilized Off Route,4,8,W/B,1031
7-Jun-19,512,8:17:00 AM,Friday,Gunn's Loop,Mechanical,1,1,,4449
7-Jun-19,512,8:18:00 AM,Friday,Gunn's Loop,Mechanical,4,8,,4449
7-Jun-19,512,8:47:00 AM,Friday,St. Clair and Bathurst,Mechanical,6,10,W/B,4430
7-Jun-19,505,10:04:00 AM,Friday,Dundas/Jarvis,Investigation,4,8,E/B,7942
