Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
1-Mar-19,501,4:26:00 AM,Friday,Queen/Connaught,Mechanical,8,20,W/B,4089
1-Mar-19,501,4:47:00 AM,Friday,Queen Connaught,Investigation,4,8,W/B,4189
1-Mar-19,501,5:01:00 AM,Friday,Queen/Connaught,Mechanical,16,13,W/B,4100
1-Mar-19,501,5:04:00 AM,Friday,Queen/Coxwell,Mechanical,10,20,E/B,4198
1-Mar-19,506,5:11:00 AM,Friday,Queen/Coxwell,Mechanical,11,17,E/B,4081
1-Mar-19,501,5:14:00 AM,Friday,Queen/Coxwell,Mechanical,15,20,E/B,4030
1-Mar-19,501,5:15:00 AM,Friday,Queen/Connaught,Mechanical,10,12,W/B,4170
1-Mar-19,506,5:37:00 AM,Friday,Queen/Coxwell,Mechanical,5,33,E/B,4187
1-Mar-19,501,5:41:00 AM,Friday,Queen/Connaught,Mechanical,5,8,W/B,4042
1-Mar-19,501,6:03:00 AM,Friday,Queen/Connaught,Mechanical,9,10,W/B,4105
1-Mar-19,509,6:12:00 AM,Friday,Exhibition Loop,Mechanical,8,16,E/B,4438
1-Mar-19,505,6:29:00 AM,Friday,Broadview stn.,Mechanical,5,10,W/B,8365
1-Mar-19,506,6:40:00 AM,Friday,Queen/Coxwell,Mechanical,0,25,E/B,4160
1-Mar-19,506,6:55:00 AM,Friday,Coxwell/Lower Gerrard,Mechanical,4,48,E/B,4185
1-Mar-19,501,7:07:00 AM,Friday,Queen/Coxwell,Mechanical,10,8,E/B,4114
1-Mar-19,506,7:31:00 AM,Friday,Highfield / Gerrard,Mechanical,6,12,W/B,4117
1-Mar-19,510,7:31:00 AM,Friday,Spadine/King,Mechanical,4,8,nb,4417
1-Mar-19,506,7:32:00 AM,Friday,Coxwell/Lower Gerrard,Mechanical,1,15,E/B,4191
1-Mar-19,504,7:50:00 AM,Friday,King/Spadina,Utilized Off Route,5,10,E/B,4468
1-Mar-19,512,9:15:00 AM,Friday,St Clair at lansdowne,Mechanical,0,0,W/B,4474
1-Mar-19,510,9:18:00 AM,Friday,SPADINA/COLLEGE,Mechanical,4,8,N/B,4429
1-Mar-19,501,10:09:00 AM,Friday,Queen St East Broadview,Overhead - Pantograph,4,8,W/B,
1-Mar-19,505,10:18:00 AM,Friday,DUNDAS/SHERBOURNE,Investigation,4,8,WB,1250
1-Mar-19,505,10:19:00 AM,Friday,Dundas/Sherbourne,Investigation,4,12,W/B,8329
1-Mar-19,506,10:27:00 AM,Friday,High Park Loop,Mechanical,8,16,W/B,4192
1-Mar-19,506,10:39:00 AM,Friday,Spadina / College,Mechanical,7,14,E/B,4186
1-Mar-19,501,11:24:00 AM,Friday,Queen Greenwood,Held By,4,8,E/B,4069
1-Mar-19,501,11:28:00 AM,Friday,Quuen Scarborough Beach,Investigation,4,8,E/B,4108
1-Mar-19,506,12:25:00 PM,Friday,main station,Mechanical,5,10,W/B,4186
1-Mar-19,510,12:56:00 PM,Friday,Sullivan and Spadina,Mechanical,4,8,N/B,4483
1-Mar-19,501,1:47:00 PM,Friday,Queen Spruce Hill,Held By,4,51,E/B,4030
1-Mar-19,506,3:43:00 PM,Friday,gerrard/parlament,Investigation,21,26,W/B,4145
1-Mar-19,511,3:50:00 PM,Friday,bathurst/robenson,Investigation,4,8,S/B,1350
1-Mar-19,504,4:01:00 PM,Friday,Dowling and King,Investigation,7,14,E/B,4444
1-Mar-19,501,4:40:00 PM,Friday,Queen St. E at Connaught Ave,Mechanical,2,4,W/B,4164
1-Mar-19,506,4:51:00 PM,Friday,main station,Investigation,13,18,W/B,4185
1-Mar-19,506,4:52:00 PM,Friday,gerrard/broadview,Emergency Services,13,18,E/B,4048
1-Mar-19,505,4:54:00 PM,Friday,Dundas and Sumach,Diversion,20,24,W/B,8379
1-Mar-19,511,5:15:00 PM,Friday,bathurst/adelaide,Investigation,4,8,S/B,1067
1-Mar-19,506,6:22:00 PM,Friday,college/grace,Investigation,10,15,E/B,4021
1-Mar-19,504,7:12:00 PM,Friday,King and Dufferin,General Delay,10,8,B/W,4494
1-Mar-19,506,7:21:00 PM,Friday,gerrard/ashdale,Held By,6,11,E/B,4011
1-Mar-19,511,7:50:00 PM,Friday,cne loop,Mechanical,5,10,N/B,1149
1-Mar-19,501,8:23:00 PM,Friday,Wilson Park and Queen,Held By,39,43,E/B,4103
1-Mar-19,501,8:24:00 PM,Friday,Kipling Loop,Mechanical,10,24,E/B,4003
1-Mar-19,506,8:43:00 PM,Friday,Howard park and Roncesvalles,Held By,7,15,E/B,4050
1-Mar-19,505,9:32:00 PM,Friday,Yonge and Dundas,Investigation,5,10,E/B,8477
1-Mar-19,504,9:36:00 PM,Friday,Broadview & Queen,Investigation,28,35,W/B,4502
2-Mar-19,506,12:27:00 AM,Saturday,Howard Park and Dundas,Emergency Services,9,18,W/B,4192
2-Mar-19,301,12:30:00 AM,Saturday,Connaught,Mechanical,9,18,W/B,4001
2-Mar-19,306,4:00:00 AM,Saturday,Jarvis and Carlton,Held By,30,60,W/B,4066
2-Mar-19,501,4:45:00 AM,Saturday,Russell Yard,Mechanical,10,20,W/B,4181
2-Mar-19,306,5:05:00 AM,Saturday,Spadina and College,Held By,21,51,W/B,4153
2-Mar-19,501,5:24:00 AM,Saturday,Russell Yard,Mechanical,10,20,E/B,4012
2-Mar-19,506,5:26:00 AM,Saturday,Coxwell and Gerrard,Mechanical,8,16,W/B,4034
2-Mar-19,506,5:39:00 AM,Saturday,Russell Yard,Mechanical,8,16,W/B,4034
2-Mar-19,501,6:09:00 AM,Saturday,Russell Yard,Mechanical,6,12,W/B,4050
2-Mar-19,501,7:23:00 AM,Saturday,QUEEN/CANNAUGHT,Mechanical,5,10,W/B,4143
2-Mar-19,505,7:33:00 AM,Saturday,Broadview Station,Mechanical,9,18,W/B,8117
2-Mar-19,501,7:49:00 AM,Saturday,Queen/Roncesvalles,Mechanical,5,10,W/B,4012
