Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Apr-20,505,12:29:00 AM,Wednesday,dundas west station,Mechanical,8,16,E/B,8594
1-Apr-20,510,2:59:00 AM,Wednesday,Queen's Quay and Spadina,Held By,15,30,E/B,4506
1-Apr-20,501,6:43:00 AM,Wednesday,Longbranch Loop,Mechanical,10,20,E/B,4446
1-Apr-20,506,7:53:00 AM,Wednesday,Main Station,Mechanical,4,8,W/B,4428
1-Apr-20,511,8:31:00 AM,Wednesday,Bathurst Station,Emergency Services,10,20,S/B,4569
1-Apr-20,501,10:52:00 AM,Wednesday,Neville Loop,Investigation,7,15,W/B,4582
1-Apr-20,512,1:53:00 PM,Wednesday,St. Clair West Station,Investigation,23,28,W/B,4523
1-Apr-20,504,2:19:00 PM,Wednesday,Dufferin & Liberty,Investigation,7,88,S/B,4521
1-Apr-20,512,2:39:00 PM,Wednesday,St. Clair and Oakwood,Mechanical,5,9,W/B,4450
1-Apr-20,505,3:07:00 PM,Wednesday,Dundas West Station,Investigation,1,1,W/B,8851
1-Apr-20,501,4:34:00 PM,Wednesday,Queen and Beaconsfield,Mechanical,12,19,W/B,4488
1-Apr-20,505,6:02:00 PM,Wednesday,Broadview Station,Investigation,1,1,E/B,3308
1-Apr-20,510,7:26:00 PM,Wednesday,Spadina & Queen,Investigation,7,59,N/B,4540
1-Apr-20,506,9:32:00 PM,Wednesday,COXWELL AND GERRARD,Emergency Services,1,1,N/B,4419
1-Apr-20,505,9:49:00 PM,Wednesday,Dundas & Manning Ave,Emergency Services,12,24,E/B,8952
1-Apr-20,501,11:19:00 PM,Wednesday,GREENWOOD AND QUEEN,Emergency Services,1,1,E/B,4491
1-Apr-20,501,11:48:00 PM,Wednesday,HUMBER LOOP,Investigation,10,20,E/B,4437
2-Apr-20,501,7:28:00 AM,Thursday,Queen /Sorauren,Mechanical,4,9,W/B,4543
2-Apr-20,506,7:44:00 AM,Thursday,Main Station,Mechanical,8,16,W/B,4410
2-Apr-20,501,10:20:00 AM,Thursday,Queen/Brock,Investigation,0,0,W/B,4543
2-Apr-20,501,1:01:00 PM,Thursday,Queen & York,Held By,9,16,E/B,4441
2-Apr-20,504,3:10:00 PM,Thursday,King & Peter,Held By,10,6,E/B,4508
2-Apr-20,501,4:01:00 PM,Thursday,Humber Loop,Mechanical,6,13,E/B,4582
2-Apr-20,501,9:56:00 PM,Thursday,QUEEN AND YONGE,Mechanical,5,10,E/B,4581
3-Apr-20,504,1:03:00 AM,Friday,KING AND DUNN,Emergency Services,33,43,E/B,4470
3-Apr-20,301,2:34:00 AM,Friday,RONCY YARD NORTH GATE,Emergency Services,1,1,E/B,4549
3-Apr-20,301,3:58:00 AM,Friday,greenwood and queen,Emergency Services,1,1,E/B,4458
3-Apr-20,506,4:59:00 AM,Friday,Coxwell and Gerrard,Mechanical,8,15,E/B,4516
3-Apr-20,506,5:01:00 AM,Friday,Coxwell and Gerrard,Mechanical,8,16,W/B,4426
3-Apr-20,504,7:00:00 AM,Friday,King/Spadina,Investigation,8,16,W/B,4451
3-Apr-20,501,8:39:00 AM,Friday,Queen and roncy,Emergency Services,8,16,E/B,4579
3-Apr-20,505,8:45:00 AM,Friday,Dundas West Station,Mechanical,10,20,E/B,8448
3-Apr-20,512,9:04:00 AM,Friday,St Clair at Oakwood,Mechanical,5,9,W/B,4531
3-Apr-20,505,9:25:00 AM,Friday,Kessington Dundas St West,Mechanical,1,1,E/B,9231
3-Apr-20,501,11:01:00 AM,Friday,Queen and bathurst,Investigation,8,16,E/B,4518
3-Apr-20,504,11:05:00 AM,Friday,King/Ashby place,Investigation,8,76,W/B,4502
3-Apr-20,505,1:10:00 PM,Friday,Dundasst West Manning Ave,Investigation,10,20,E/B,8045
3-Apr-20,501,2:04:00 PM,Friday,Queen & Leslie,Held By,12,19,E/B,4458
3-Apr-20,505,3:00:00 PM,Friday,Brodview STN,Emergency Services,8,16,W/B,3355
3-Apr-20,512,4:36:00 PM,Friday,St Clair Station,Mechanical,5,9,W/B,4437
3-Apr-20,512,6:21:00 PM,Friday,St Clair and Vaughan,Mechanical,5,9,W/B,4437
3-Apr-20,512,6:30:00 PM,Friday,St Clair and Keele,Held By,40,45,E/B,4594
3-Apr-20,510,6:59:00 PM,Friday,Spadina Station,Mechanical,5,10,S/B,4536
3-Apr-20,512,8:23:00 PM,Friday,Bathurst and Wells,Investigation,0,0,S/B,4594
3-Apr-20,504,8:30:00 PM,Friday,RONCESSVALLES AND DUNDAS,Mechanical,8,16,N/B,4473
3-Apr-20,506,9:48:00 PM,Friday,HIGH PARK LOOP,Mechanical,9,17,E/B,4469
3-Apr-20,501,9:55:00 PM,Friday,Queen/Lansdowne,Mechanical,8,16,W/B,4458
3-Apr-20,705,11:02:00 PM,Friday,Bathurt and College,Investigation,10,20,S/B,4541
3-Apr-20,504,11:40:00 PM,Friday,KING AND NIAGARA,Mechanical,10,20,E/B,4477
4-Apr-20,504,2:49:00 AM,Saturday,LESLIE AND COMMISSIONERS,Investigation,1,1,S/B,4556
4-Apr-20,304,4:46:00 AM,Saturday,Dundas West Station,Mechanical,5,10,E/B,4542
4-Apr-20,506,10:15:00 AM,Saturday,Gerrard and Jones,Mechanical,6,12,W/B,4419
4-Apr-20,501,10:27:00 AM,Saturday,Roncesvalles Ave and Queen,Investigation,8,16,W/B,4539
4-Apr-20,501,12:58:00 PM,Saturday,Queen & Roncesvalles,Investigation,5,10,N/B,4476
4-Apr-20,501,1:00:00 PM,Saturday,Roncesvalles and Queen,Investigation,7,14,W/B,4476
4-Apr-20,506,3:16:00 PM,Saturday,Broadview Station,Utilized Off Route,8,16,W/B,4430
4-Apr-20,506,3:41:00 PM,Saturday,Parliament and Gerrard,Utilized Off Route,8,16,E/B,4419
4-Apr-20,501,4:35:00 PM,Saturday,Queen Roncesvalles,Mechanical,5,10,N/B,4524
4-Apr-20,501,4:50:00 PM,Saturday,Nevillepark,Mechanical,6,12,W/B,4571
