Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Aug-20,,02:24,Saturday,RUSSELL YARD,Emergency Services,0,0,,4483
1-Aug-20,301,03:10,Saturday,QUEEN AND SPADINA,Security,10,20,E,4522
1-Aug-20,511,06:50,Saturday,BATHURST AND NIAGARA,Emergency Services,0,0,,0
1-Aug-20,505,12:09,Saturday,DUNDAS AND BAY,Held By,68,75,E,4491
1-Aug-20,511,13:13,Saturday,BATHURST AND HARBORD,Security,0,0,N,1033
1-Aug-20,501,13:16,Saturday,QUEEN AND YORK,Held By,8,18,W,4530
1-Aug-20,505,13:29,Saturday,QUEEN AND VICTORIA,Operations,13,23,E,4416
1-Aug-20,510,14:10,Saturday,SPADINA STATION,Operations,4,8,S,4465
1-Aug-20,511,14:25,Saturday,SPADINA AND FORT YORK,Collision - TTC Involved,4,9,S,1266
1-Aug-20,505,14:45,Saturday,DUNDAS WEST STATION,Emergency Services,0,0,,0
1-Aug-20,511,15:48,Saturday,BATHUST AND NASSAU,Mechanical,5,9,S,1095
1-Aug-20,506,16:22,Saturday,GERRARD AND BROADVIEW,Collision - TTC Involved,7,14,W,8074
1-Aug-20,504,18:09,Saturday,KING AND JARVIS,Collision - TTC Involved,26,34,W,4540
1-Aug-20,510,18:14,Saturday,SPADINA STATION,Operations,3,7,S,4561
1-Aug-20,505,20:43,Saturday,DUNDAS AND AUGUSTA,Held By,18,23,E,4570
1-Aug-20,509,20:44,Saturday,QUEEN'S QUAY AND SPADI,Emergency Services,10,20,W,4553
1-Aug-20,510,21:12,Saturday,SPADINA AND COLLEGE,Security,13,18,N,4564
1-Aug-20,506,23:24,Saturday,DUNDAS WEST STATION,Emergency Services,0,0,E,8678
1-Aug-20,509,01:32,Saturday,FRONT AND SPADINA,Held By,100,110,E,4600
2-Aug-20,501,02:00,Sunday,QUEEN AND CONNAUGHT,Cleaning,10,20,W,4552
2-Aug-20,301,02:11,Sunday,SUNNYSIDE LOOP,Emergency Services,10,20,W,4558
2-Aug-20,306,03:32,Sunday,CARLTON AND SHERBOURNE,Held By,15,30,W,7926
2-Aug-20,510,04:30,Sunday,SPADINA AND KING,Operations,15,30,S,4543
2-Aug-20,,04:51,Sunday,LESLIE BARNS,Mechanical,0,0,,4459
2-Aug-20,506,06:53,Sunday,MAIN STREET STATION,Operations,7,14,E,0
2-Aug-20,504,07:20,Sunday,KING AND DUNN,Held By,11,21,E,4420
2-Aug-20,505,07:27,Sunday,BROADVIEW STATION,Cleaning,10,20,W,4578
2-Aug-20,512,07:56,Sunday,ST CLAIR WEST STATION,Operations,6,12,E,4538
2-Aug-20,511,08:08,Sunday,BATHURST STATION,Operations,7,414,S,0
2-Aug-20,510,08:49,Sunday,QUEENS QUAY AND SPADIN,Overhead,14,28,W,4544
2-Aug-20,509,08:59,Sunday,QUEEN'S QUAY AND SPADI,Operations,4,14,W,4494
2-Aug-20,504,09:50,Sunday,BROADVIEW AND QUEEN,Operations,10,20,E,4502
2-Aug-20,510,11:02,Sunday,LESLIE BARNS,Operations,7,14,N,4559
2-Aug-20,501,12:07,Sunday,LAKESHORE AND FIFTH,Emergency Services,26,36,W,4551
2-Aug-20,511,13:07,Sunday,SPADINA STATION,Operations,5,10,S,0
2-Aug-20,504,13:17,Sunday,KING AND DOWLING,Emergency Services,37,45,W,4487
2-Aug-20,501,14:53,Sunday,LAKESHORE AND PARKLAWN,Held By,55,65,W,4401
2-Aug-20,511,15:21,Sunday,BATHURST STATION,Operations,5,10,S,0
2-Aug-20,511,19:07,Sunday,BATHURST STATION,Operations,8,16,N,0
2-Aug-20,505,21:28,Sunday,DUNDAS AND JARVIS,Operations,10,22,E,4557
2-Aug-20,501,23:41,Sunday,QUEEN AND GREENWOOD,Security,10,20,W,4466
2-Aug-20,504,00:56,Sunday,DUFFERIN LOOP,Cleaning,10,20,E,4464
2-Aug-20,555,01:30,Sunday,LESLIE BARNS,General Delay,0,0,,0
3-Aug-20,504,05:05,Monday,QUEEN AND RONCESVALLES,Mechanical,19,25,E,4495
3-Aug-20,506,09:56,Monday,MAIN STREET STATION,Mechanical,8,16,W,8560
3-Aug-20,506,10:50,Monday,DUNDAS WEST STATION,Mechanical,8,16,W,8737
3-Aug-20,510,14:51,Monday,SPADINA AND KING,Operations,3,7,S,4601
3-Aug-20,501,15:28,Monday,QUEEN AND WOODFIELD,Operations,13,23,W,4571
3-Aug-20,506,16:04,Monday,COXWELL AND UPPER GERR,Emergency Services,0,0,S,8449
3-Aug-20,501,17:57,Monday,LAKESHORE AND SUPERIOR,Held By,49,59,E,4421
3-Aug-20,512,21:13,Monday,OAKWOOD LOOP,Emergency Services,8,16,E,4408
3-Aug-20,512,21:39,Monday,ST CLAIR AND BATHURST,Emergency Services,8,16,E,4422
3-Aug-20,506,21:56,Monday,MAIN STREET STATION,Mechanical,8,16,W,8560
3-Aug-20,505,00:06,Monday,BROADVIEW STATION,Emergency Services,9,18,,4550
4-Aug-20,501,03:16,Tuesday,RUSSELL CARHOUSE,Collision - TTC Involved,0,0,,4465
4-Aug-20,512,05:21,Tuesday,DUNDAS AND CHURCH,Operations,5,10,W,4526
4-Aug-20,505,05:23,Tuesday,DUNDAS AND CHURCH,Operations,8,16,W,4549
4-Aug-20,500,06:00,Tuesday,TORONTO TRANSIT COMMIS,General Delay,0,0,,0
4-Aug-20,506,06:03,Tuesday,DUNDAS WEST STATION,Operations,8,16,E,0
4-Aug-20,505,06:10,Tuesday,DUNDAS AND MCCAUL,Operations,8,16,W,4578
4-Aug-20,511,06:16,Tuesday,BATHURST STATION,Utilized Off Route,5,10,S,1123
4-Aug-20,506,06:18,Tuesday,DUNDAS WEST STATION,Operations,8,15,E,0
4-Aug-20,512,06:19,Tuesday,ST. CLAIR AND BATHURST,Held By,5,10,W,4501
4-Aug-20,506,06:58,Tuesday,DUNDAS WEST STATION,Operations,5,10,E,0
4-Aug-20,504,07:16,Tuesday,DISTILLERY LOOP,Mechanical,8,16,W,4416
4-Aug-20,505,08:03,Tuesday,DUNDAS AND JARVIS,Emergency Services,6,14,W,4476
4-Aug-20,512,08:16,Tuesday,CHURCH AND DUNDAS,Operations,5,10,W,4570
4-Aug-20,506,08:43,Tuesday,PARLIAMENT AND GERRARD,Cleaning,5,10,E,8588
4-Aug-20,511,09:26,Tuesday,BATHURST STATION,Mechanical,4,8,S,1123
4-Aug-20,511,09:28,Tuesday,BATHURST STATION,Mechanical,4,8,S,1123
4-Aug-20,506,09:45,Tuesday,DUNDAS WEST STATION,Operations,6,12,E,7938
4-Aug-20,511,10:44,Tuesday,BATHURST STATION,Operations,4,8,S,1203
4-Aug-20,501,12:35,Tuesday,THE QUEENSWAY AND WIND,Security,12,22,E,4537
4-Aug-20,511,12:40,Tuesday,BATHURST AND LONDON,Mechanical,4,8,N,1421
4-Aug-20,506,12:44,Tuesday,GERRARD AND BROADVIEW,Mechanical,6,12,E,8613
4-Aug-20,504,18:05,Tuesday,BROADVIEW AND DUNDAS,Mechanical,8,16,N,4441
4-Aug-20,511,18:28,Tuesday,EXHIBITION LOOP,Mechanical,4,7,N,1042
4-Aug-20,511,19:31,Tuesday,EXHIBITION LOOP,Emergency Services,5,10,N,1625
4-Aug-20,510,21:13,Tuesday,QUEENS QUAY AND REES,Security,18,23,E,4573
4-Aug-20,509,21:14,Tuesday,QUEENS QUAY AND REES,Held By,17,27,E,4588
4-Aug-20,506,21:36,Tuesday,DUNDAS WEST STATION,Operations,7,14,E,7953
4-Aug-20,501,01:26,Tuesday,QUEEN AND NEVILLE PARK,Cleaning,10,20,W,4571
5-Aug-20,512,02:51,Wednesday,BATHURST AND QUEEN,Operations,0,0,S,4469
5-Aug-20,501,06:49,Wednesday,QUEEN AND WOODFIELD,Mechanical,10,20,E,4586
5-Aug-20,511,06:57,Wednesday,BATHURST AND FORT YORK,Mechanical,5,10,N,1258
5-Aug-20,506,07:37,Wednesday,COXWELL AND LOWER GERR,Cleaning,6,12,W,8550
5-Aug-20,506,08:51,Wednesday,MAIN STREET STATION,Operations,6,12,W,8805
5-Aug-20,511,08:58,Wednesday,SPADINA STATION,Mechanical,5,10,S,1063
5-Aug-20,511,09:08,Wednesday,BATHURST STATION,Operations,4,8,S,1268
5-Aug-20,501,11:06,Wednesday,QUEEN AND JOHN,Held By,180,190,B,0
5-Aug-20,506,11:11,Wednesday,COLLEGE AND LANSDOWNE,Operations,6,12,E,8928
5-Aug-20,506,12:15,Wednesday,CARLTON AND SHERBOURNE,General Delay,10,16,E,8494
5-Aug-20,506,12:26,Wednesday,COLLEGE AND LANSDOWNE,Mechanical,6,12,E,8513
5-Aug-20,506,13:44,Wednesday,MAIN STREET STATION,Operations,6,12,W,8627
5-Aug-20,505,16:28,Wednesday,DUNDAS AND DUFFERIN,Held By,40,49,E,4589
5-Aug-20,512,17:12,Wednesday,GUNNS LOOP,General Delay,8,13,E,4518
5-Aug-20,511,17:33,Wednesday,FORT YORK AND BATHURST,Collision - TTC Involved,3,7,N,1109
5-Aug-20,504,17:39,Wednesday,KING AND JAMESON,Held By,60,66,E,4487
5-Aug-20,510,19:07,Wednesday,SPADINA AND QUEENS QUA,Emergency Services,13,18,,4550
5-Aug-20,510,20:12,Wednesday,SPADINA AND QUEEN'S QU,Mechanical,7,17,S,4474
5-Aug-20,501,20:21,Wednesday,QUEEN AND COXWELL,Security,10,20,W,4600
5-Aug-20,505,21:22,Wednesday,BROADVIEW STATION,Security,13,26,W,4543
5-Aug-20,505,22:46,Wednesday,DUNDAS AND BATHURST,Cleaning,13,26,W,4544
6-Aug-20,501,02:30,Thursday,QUEEN AND GREENWOOD,Operations,7,12,E,4421
6-Aug-20,504,07:49,Thursday,DUFFERIN AND KING,Held By,11,19,E,4506
6-Aug-20,506,08:34,Thursday,DUNDAS WEST STATION,Utilized Off Route,5,10,W,8865
6-Aug-20,510,08:37,Thursday,SPADINA STATION,General Delay,44,48,E,0
6-Aug-20,506,09:31,Thursday,DUNDAS WEST STATION,Collision - TTC Involved,6,12,E,9208
6-Aug-20,506,10:01,Thursday,MAIN STREET STATION,Operations,6,12,W,8749
6-Aug-20,505,10:36,Thursday,DUNDAS AND RIVER,Held By,886,895,,4474
6-Aug-20,506,11:21,Thursday,MAIN STREET STATION,Mechanical,6,12,W,9228
6-Aug-20,555,12:37,Thursday,RONCESVALLES CARHOUSE,General Delay,0,0,,4515
6-Aug-20,506,12:43,Thursday,DUNDAS WEST STATION,Operations,6,12,E,7919
6-Aug-20,511,12:50,Thursday,BATHURST STATION,Operations,4,8,S,1075
6-Aug-20,511,13:08,Thursday,EXHIBITION LOOP,Security,4,8,,1412
6-Aug-20,501,15:02,Thursday,QUEEN AND RONCESVALLES,General Delay,20,10,W,4564
6-Aug-20,504,15:06,Thursday,QUEEN AND RONCESVALLES,Operations,5,10,W,4404
6-Aug-20,511,16:04,Thursday,BATHURST AND COLLEGE,Operations,6,12,N,1005
6-Aug-20,506,16:43,Thursday,COLLEGE AND RUSHOLME,Collision - TTC Involved,0,0,W,8904
6-Aug-20,705,17:59,Thursday,DUNDAS WEST STATION,General Delay,0,0,E,4528
6-Aug-20,505,19:52,Thursday,DUNDAS AND HURON,Held By,0,0,W,4159
6-Aug-20,504,20:33,Thursday,QUEEN AND CARROLL,Operations,18,30,W,4514
6-Aug-20,505,23:35,Thursday,BROADVIEW AND DUNDAS,Operations,9,18,S,4480
7-Aug-20,505,02:01,Friday,DUNDAS AND MCCAUL,Cleaning,9,18,W,4585
7-Aug-20,501,02:30,Friday,QUEEN AND GREENWOOD,Operations,10,20,E,4553
7-Aug-20,501,03:00,Friday,QUEEN AND WOODFIELD,Operations,10,20,W,4534
7-Aug-20,505,03:56,Friday,DUNDAS AND RIVER,General Delay,0,0,B,0
7-Aug-20,511,05:20,Friday,BATHURST STATION,Operations,5,10,S,0
7-Aug-20,503,05:40,Friday,BINGHAM LOOP,Emergency Services,10,20,E,4516
7-Aug-20,511,05:42,Friday,BATHURST STATION,Operations,5,10,S,0
7-Aug-20,511,06:02,Friday,BATHURST STATION,Mechanical,5,10,S,1109
7-Aug-20,505,06:20,Friday,DUNDAS AND DUFFERIN,Operations,9,18,W,4589
7-Aug-20,506,06:28,Friday,MAIN STREET STATION,Mechanical,5,10,W,8520
7-Aug-20,505,06:31,Friday,PARLIAMENT AND DUNDAS,Operations,9,18,S,4405
7-Aug-20,511,07:24,Friday,BATHURST STATION,Operations,4,8,S,0
7-Aug-20,511,07:46,Friday,BATHURST STATION,Mechanical,3,7,S,1050
7-Aug-20,511,07:58,Friday,BATHURST STATION,Operations,4,8,S,0
7-Aug-20,504,07:58,Friday,RONCESVALLES AND QUEEN,Mechanical,8,16,E,4468
7-Aug-20,510,07:59,Friday,SPADINA STATION,Operations,4,8,N,4474
7-Aug-20,511,08:08,Friday,BATHURST STATION,Mechanical,4,8,S,1262
7-Aug-20,501,09:10,Friday,QUEEN AND WOODFIELD,Operations,10,20,W,0
7-Aug-20,511,09:35,Friday,BATHURST STATION,Operations,4,8,S,1095
7-Aug-20,504,11:05,Friday,KING AND NIAGARA,Held By,8,16,E,4495
7-Aug-20,555,12:03,Friday,KING AND BLUE JAYS WAY,Overhead,0,0,W,0
7-Aug-20,505,12:44,Friday,DUNDAS AND PARLIAMENT,Collision - TTC Involved,8,16,W,4401
7-Aug-20,501,13:02,Friday,QUEEN AND CONNAUGHT,Operations,10,20,W,4554
7-Aug-20,506,13:11,Friday,DUNDAS WEST STATION,Operations,6,12,E,0
7-Aug-20,501,13:19,Friday,QUEEN AND CONNAUGHT,Operations,10,20,W,4564
7-Aug-20,506,13:30,Friday,GERRARD AND COXWELL,Mechanical,6,12,W,3103
7-Aug-20,506,13:41,Friday,DUNDAS WEST STATION,Operations,6,12,E,7935
7-Aug-20,501,13:55,Friday,QUEEN AND CONNAUGHT,Operations,10,20,,4459
7-Aug-20,505,14:13,Friday,BROADVIEW AND PARLIAME,Operations,8,16,E,0
7-Aug-20,501,15:00,Friday,QUEEN AND CONNAUGHT,Operations,10,20,E,4565
7-Aug-20,504,15:56,Friday,KING AND SPADINA,Operations,10,20,W,4431
7-Aug-20,504,16:26,Friday,BROADVIEW STATION,Emergency Services,22,28,N,4525
7-Aug-20,506,16:34,Friday,MAIN STREET STATION,Mechanical,6,12,,3114
7-Aug-20,504,16:41,Friday,RONCESVALLES AND GARDE,Held By,29,35,W,4487
7-Aug-20,506,17:45,Friday,DUNDAS WEST STATION,Operations,6,12,,0
7-Aug-20,501,22:28,Friday,LAKESHORE AND SUPERIOR,Held By,10,20,E,4537
7-Aug-20,504,00:11,Friday,KING AND SPADINA,Held By,57,67,W,4495
7-Aug-20,512,01:31,Friday,ST CLAIR STATION,Cleaning,10,20,W,4400
8-Aug-20,510,02:47,Saturday,QUEEN'S QUAY LOOP,Operations,15,30,,4602
8-Aug-20,506,05:50,Saturday,MAIN STREET STATION,Operations,10,20,W,0
8-Aug-20,505,06:31,Saturday,QUEEN AND LESLIE,Operations,10,20,,4550
8-Aug-20,512,07:45,Saturday,ST CLAIR AND BATHUST,Mechanical,7,14,E,4406
8-Aug-20,510,07:50,Saturday,CHARLOTTE LOOP,Emergency Services,10,20,,4593
8-Aug-20,512,08:24,Saturday,QUEEN AND BATHURST,Operations,5,10,W,4448
8-Aug-20,506,08:31,Saturday,MAIN STREET STATION,Operations,7,14,W,0
8-Aug-20,506,09:08,Saturday,MAIN STREET STATION,Operations,8,16,W,1325
8-Aug-20,501,09:08,Saturday,QUEEN AND GLENDALE,Mechanical,10,20,E,4444
