Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Feb-20,504,12:59:00 AM,Saturday,King and Jameson,Held By,26,34,E/B,4537
1-Feb-20,301,1:22:00 AM,Saturday,LAKESHORE AND BROOKERS LN,Investigation,121,131,E/B,4447
1-Feb-20,504,2:28:00 AM,Saturday,Dundas West and Bloor,Emergency Services,1,2,N/B,4453
1-Feb-20,504,2:39:00 AM,Saturday,King and Yonge,Held By,20,35,W/B,4580
1-Feb-20,310,3:36:00 AM,Saturday,Spadina and College,Emergency Services,17,32,S/B,4596
1-Feb-20,504,6:28:00 AM,Saturday,King and Strachan,Held By,10,20,W/B,4599
1-Feb-20,511,7:27:00 AM,Saturday,Bloor and Bathurst,Mechanical,0,0,N/B,4527
1-Feb-20,510,8:54:00 AM,Saturday,King and Yonge,Diversion,999,999,W/B,4454
1-Feb-20,24,9:13:00 AM,Saturday,Birchmount Garage,Mechanical,5,10,W/B,8531
1-Feb-20,506,9:21:00 AM,Saturday,Gerrard Ashdale,Investigation,47,55,E/B,4452
1-Feb-20,506,9:34:00 AM,Saturday,Broadview Queen St East,Overhead - Pantograph,1,1,S/B,4540
1-Feb-20,506,9:56:00 AM,Saturday,Broadview Queen Street East,Overhead - Pantograph,1,1,S/B,4514
1-Feb-20,505,10:03:00 AM,Saturday,MT Dennis Garage,Mechanical,5,10,W/B,
1-Feb-20,505,10:10:00 AM,Saturday,Dundas West Station,Mechanical,5,10,E/B,1095
1-Feb-20,504,10:41:00 AM,Saturday,King and Yonge,General Delay,20,30,B/W,
1-Feb-20,501,11:40:00 AM,Saturday,Queen/Roncesvalles,Mechanical,7,15,W/B,4582
1-Feb-20,506,12:45:00 PM,Saturday,Gerrard St Mathews,Mechanical,1,1,W/B,4446
1-Feb-20,501,2:50:00 PM,Saturday,Queen and Greenwood,Mechanical,12,22,W/B,4520
1-Feb-20,505,3:10:00 PM,Saturday,Broadview Station,Mechanical,4,8,W/B,3731
1-Feb-20,505,6:40:00 PM,Saturday,Sherbourne,Investigation,4,8,E/B,1041
1-Feb-20,504,9:19:00 PM,Saturday,Dundas West Station,Emergency Services,8,16,S/B,4580
2-Feb-20,511,12:11:00 AM,Sunday,Bathurst STN,Mechanical,9,18,S/B,4537
2-Feb-20,301,1:28:00 AM,Sunday,HUMBER LOOP,Mechanical,10,20,W/B,4426
2-Feb-20,301,4:53:00 AM,Sunday,Queen St East Connnaught,Investigation,1,1,E/B,4582
2-Feb-20,504,5:12:00 AM,Sunday,CHURCH AND KING,Diversion,1128,1138,W/B,
2-Feb-20,504,7:17:00 AM,Sunday,Richmond and Victoria,Investigation,10,20,W/B,4586
2-Feb-20,506,11:46:00 AM,Sunday,College Street West  Brock,Emergency Services,26,36,E/B,4437
2-Feb-20,501,4:05:00 PM,Sunday,Humber Loop,General Delay,10,20,E/B,4559
2-Feb-20,504,5:38:00 PM,Sunday,King & Bathurst,Diversion,18,10,W/B,4428
2-Feb-20,504,7:17:00 PM,Sunday,Roncy and Queen,General Delay,7,17,W/B,4599
2-Feb-20,501,9:19:00 PM,Sunday,RUSSELL YARD,Held By,16,24,E/B,4587
2-Feb-20,501,9:23:00 PM,Sunday,QUEEN AND CRWAFORD,Emergency Services,13,23,W/B,4415
2-Feb-20,504,11:25:00 PM,Sunday,KING AND SUMACH,Mechanical,10,20,W/B,4581
2-Feb-20,509,11:41:00 PM,Sunday,CNE Loop,Mechanical,10,20,E/B,4552
