Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
5-Jul-20,509,12:58:00 AM,Sunday,SPADINA AND QUEENS QUAY,Mechanical,10,20,W/B,4456
5-Jul-20,510,4:08:00 AM,Sunday,Spadina and Queen,Mechanical,15,30,S/B,4526
5-Jul-20,301,4:12:00 AM,Sunday,Queen and Ossington,Mechanical,10,20,E/B,4506
5-Jul-20,505,6:05:00 AM,Sunday,Dundas and Bathurst,Emergency Services,138,149,W/B,4420
5-Jul-20,505,10:25:00 AM,Sunday,Church and Dundas,Investigation,11,22,N/B,4533
5-Jul-20,511,11:27:00 AM,Sunday,Exhibtion Loop,Mechanical,8,16,E/B,1015
5-Jul-20,501,11:43:00 AM,Sunday,Neville Loop,Investigation,10,20,W/B,4510
5-Jul-20,501,2:10:00 PM,Sunday,Park Lawn and Lakeshore,Held By,20,30,W/B,4508
5-Jul-20,505,2:39:00 PM,Sunday,Chestnut Street,Mechanical,7,14,W/B,4421
5-Jul-20,509,5:47:00 PM,Sunday,Queens Quay and Bathurst,Held By,14,21,E/B,4480
5-Jul-20,510,6:16:00 PM,Sunday,Spadina Station,Mechanical,4,8,S/B,4469
5-Jul-20,506,10:30:00 PM,Sunday,Dundas W Station,Investigation,10,20,E/B,8523
6-Jul-20,501,2:38:00 AM,Monday,LONG BRANCH LOOP,Mechanical,15,22,E/B,4486
6-Jul-20,510,5:30:00 AM,Monday,King st and church st,Mechanical,15,30,W/B,4499
6-Jul-20,504,5:51:00 AM,Monday,Exhibiton West Loop,Held By,6,6,E/B,4420
6-Jul-20,511,7:13:00 AM,Monday,Exhibition Loop,Mechanical,5,10,N/B,1023
6-Jul-20,501,10:35:00 AM,Monday,Queen & Sumach,Investigation,30,40,E/B,4493
6-Jul-20,506,11:12:00 AM,Monday,Dundas West Station,Mechanical,6,12,E/B,8024
6-Jul-20,506,1:12:00 PM,Monday,Carlton and Parliament,Investigation,6,12,E/B,8069
6-Jul-20,506,1:59:00 PM,Monday,Dundas West Station,Mechanical,6,12,E/B,8637
6-Jul-20,503,2:46:00 PM,Monday,Charolette Loop,Mechanical,10,20,E/B,4543
6-Jul-20,501,3:06:00 PM,Monday,Queen and Dufferin,Mechanical,70,78,E/B,4530
6-Jul-20,505,3:40:00 PM,Monday,Dundas and Yonge,Mechanical,7,15,E/B,4442
6-Jul-20,501,6:43:00 PM,Monday,Queen and Able,Held By,16,24,E/B,4531
6-Jul-20,501,8:35:00 PM,Monday,LEGION ROAD AND LAKESHORE,Held By,20,30,E/B,4496
6-Jul-20,501,11:53:00 PM,Monday,neville loop,Investigation,10,21,W/B,4500
6-Jul-20,501,11:58:00 PM,Monday,LANSDOWNE AND QUEEN,Investigation,5,10,E/B,4423
7-Jul-20,510,2:02:00 AM,Tuesday,KING AND UNIVERSITY,Mechanical,1,1,E/B,4521
7-Jul-20,501,8:53:00 AM,Tuesday,Neville Loop,Mechanical,10,20,W/B,4499
7-Jul-20,510,10:19:00 AM,Tuesday,Spadina station,Mechanical,4,8,S/B,4427
7-Jul-20,509,10:48:00 AM,Tuesday,Queen and Bond St.,Overhead - Pantograph,1,1,E/B,4497
7-Jul-20,511,11:00:00 AM,Tuesday,Spadina Station,Mechanical,4,8,S/B,1121
7-Jul-20,506,12:10:00 PM,Tuesday,Gerrard and Pape,Emergency Services,6,12,E/B,8416
7-Jul-20,511,12:38:00 PM,Tuesday,Exhibition Loop,Mechanical,4,8,N/B,1094
7-Jul-20,505,1:42:00 PM,Tuesday,Dundas and Manning,Held By,11,20,E/B,4588
7-Jul-20,501,2:00:00 PM,Tuesday,lakeshore and Kipling,Emergency Services,25,33,E/B,4431
7-Jul-20,510,3:42:00 PM,Tuesday,Spadina and College street,Investigation,24,28,N/B,4491
7-Jul-20,501,4:50:00 PM,Tuesday,Queen and McCaul,Investigation,1,1,E/B,4514
7-Jul-20,512,10:25:00 PM,Tuesday,ST.CLAIR STATION,Mechanical,5,10,W/B,4460
7-Jul-20,501,11:43:00 PM,Tuesday,NEVILLE LOOP,Mechanical,10,20,W/B,4510
8-Jul-20,304,2:00:00 AM,Wednesday,Sunnyside Loop,Diversion,54,73,N/B,4570
