Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Jun-20,805,3:40:00 AM,Monday,SPADINA AND QUEEN,Overhead - Pantograph,28,33,E/B,4473
1-Jun-20,501,5:40:00 AM,Monday,Queen and Roncesvalles,Held By,13,25,E/B,4502
1-Jun-20,506,11:48:00 AM,Monday,College and Beverley,Held By,12,28,E/B,4599
1-Jun-20,506,1:12:00 PM,Monday,Main station,Mechanical,24,42,W/B,4472
1-Jun-20,504,2:01:00 PM,Monday,Distaliry Loop,Mechanical,6,14,W/B,4569
1-Jun-20,511,4:00:00 PM,Monday,Bathurst Station,Investigation,4,8,S/B,1361
1-Jun-20,504,4:33:00 PM,Monday,Brant/ King,Investigation,9,25,E/B,4438
1-Jun-20,504,4:40:00 PM,Monday,King/Brant,Emergency Services,13,21,E/B,4480
1-Jun-20,505,5:21:00 PM,Monday,Dundas and Huron,Investigation,9,18,E/B,4406
1-Jun-20,705,6:04:00 PM,Monday,St clair stn,Mechanical,4,13,W/B,4479
1-Jun-20,505,10:00:00 PM,Monday,Parliament and Dundas,Emergency Services,1,1,S/B,4533
2-Jun-20,501,2:07:00 AM,Tuesday,CONNAUGHT AND QUEEN,Mechanical,10,17,E/B,4425
2-Jun-20,511,8:12:00 AM,Tuesday,Spadina at Front,Mechanical,4,8,N/B,1013
2-Jun-20,501,9:18:00 AM,Tuesday,Queen Sackville,Diversion,,,B/W,4495
2-Jun-20,506,9:28:00 AM,Tuesday,Gerrard  Jones,Diversion,1,1,W/B,4543
2-Jun-20,506,2:35:00 PM,Tuesday,College and University,Emergency Services,414,423,B/W,4542
2-Jun-20,509,4:05:00 PM,Tuesday,CNE,Mechanical,8,16,E/B,4559
2-Jun-20,506,4:10:00 PM,Tuesday,Gerrard and Coxwell,Emergency Services,9,18,E/B,9045
2-Jun-20,501,6:02:00 PM,Tuesday,Queen/Carlaw,Investigation,10,17,E/B,4510
2-Jun-20,501,6:22:00 PM,Tuesday,Queen/Woodfield,Investigation,9,16,W/B,4497
2-Jun-20,501,10:00:00 PM,Tuesday,Queen and Glen Holm,Held By,11,20,E/B,4400
2-Jun-20,501,10:06:00 PM,Tuesday,Queen and Sumach,Held By,9,18,E/B,4413
2-Jun-20,501,10:40:00 PM,Tuesday,Queen and Kingston Rd,Emergency Services,1,1,W/B,4431
2-Jun-20,501,11:09:00 PM,Tuesday,Queen and Sumach,Held By,9,18,E/B,4538
3-Jun-20,301,3:17:00 AM,Wednesday,Connaught and Queen,Mechanical,15,30,E/B,4491
3-Jun-20,510,6:36:00 AM,Wednesday,Spadina and Front,Held By,49,53,N/B,4454
3-Jun-20,504,7:30:00 AM,Wednesday,Roncesvalles and Garden,Emergency Services,14,19,S/B,4558
3-Jun-20,505,7:49:00 AM,Wednesday,Dundas West Station,Overhead - Pantograph,1,1,E/B,4429
3-Jun-20,501,8:35:00 AM,Wednesday,Broadview and Queen,Diversion,13,20,W/B,4431
3-Jun-20,506,10:43:00 AM,Wednesday,Main Station,Mechanical,8,16,E/B,4481
3-Jun-20,501,11:30:00 AM,Wednesday,Neville Loop,Mechanical,7,14,W/B,4519
3-Jun-20,501,12:42:00 PM,Wednesday,Humber Loop,Mechanical,8,15,E/B,4430
3-Jun-20,501,2:18:00 PM,Wednesday,Queen/Jarvis,Held By,8,15,E/B,4487
3-Jun-20,501,2:30:00 PM,Wednesday,Queen/King,Investigation,8,15,B/W,4422
3-Jun-20,501,4:16:00 PM,Wednesday,Queen/Sumach,Held By,19,26,B/W,4425
3-Jun-20,504,5:19:00 PM,Wednesday,King/Sumach,Mechanical,8,16,S/B,4578
3-Jun-20,511,6:20:00 PM,Wednesday,CNE,Mechanical,5,10,N/B,1104
3-Jun-20,506,7:44:00 PM,Wednesday,Main STN,Mechanical,9,18,E/B,4429
3-Jun-20,510,8:45:00 PM,Wednesday,Spadina and Queen's Quay,Diversion,10,20,S/B,4525
3-Jun-20,506,11:24:00 PM,Wednesday,HIPK,Mechanical,9,18,E/B,4595
3-Jun-20,504,11:25:00 PM,Wednesday,King and Simcoe,Held By,92,102,B/W,4589
3-Jun-20,504,11:55:00 PM,Wednesday,Spadina and King,Investigation,48,58,S/B,4446
4-Jun-20,511,5:25:00 AM,Thursday,Exhibition Loop,Mechanical,5,10,N/B,1516
4-Jun-20,501,5:33:00 AM,Thursday,Queen St E and Sumach Ave,Emergency Services,999,999,E/B,4401
4-Jun-20,501,6:30:00 AM,Thursday,Queen St E and Connaught,Mechanical,4,6,W/B,4521
4-Jun-20,505,8:00:00 AM,Thursday,Braodview Danforth,Mechanical,1,1,N/B,4556
4-Jun-20,511,1:42:00 PM,Thursday,CNE,Mechanical,4,8,N/B,1097
4-Jun-20,501,4:05:00 PM,Thursday,Queen/Gladstone,Mechanical,59,66,E/B,4497
4-Jun-20,510,6:21:00 PM,Thursday,Spadina,Emergency Services,25,10,S/B,4532
5-Jun-20,505,5:31:00 AM,Friday,Dundas and Parliament,Mechanical,0,0,W/B,4428
5-Jun-20,505,5:32:00 AM,Friday,Parliament and Dundas,Mechanical,9,18,W/B,4583
5-Jun-20,506,8:20:00 AM,Friday,College and Dufferin,Held By,75,90,B/W,4534
5-Jun-20,511,8:45:00 AM,Friday,Bathurst Stn,Utilized Off Route,5,10,S/B,1074
5-Jun-20,504,9:33:00 AM,Friday,Dufferin Loop,Mechanical,7,14,E/B,4459
5-Jun-20,505,1:00:00 PM,Friday,Dudnas and Yonge,Held By,20,29,B/W,4450
5-Jun-20,505,1:56:00 PM,Friday,Dundas and Yonge,Held By,14,23,B/W,4462
5-Jun-20,501,3:04:00 PM,Friday,Lakeshore/Parklawn,Mechanical,7,14,E/B,1359
5-Jun-20,501,6:01:00 PM,Friday,Queen/Connaught,Late Leaving Garage,8,15,E/B,4499
5-Jun-20,501,6:27:00 PM,Friday,Humber loop,Mechanical,7,14,W/B,1215
5-Jun-20,505,8:28:00 PM,Friday,Broadview Station,Mechanical,17,25,W/B,4428
5-Jun-20,511,9:02:00 PM,Friday,Exhibition Loop,Mechanical,5,10,N/B,1066
5-Jun-20,506,10:33:00 PM,Friday,College and Landsdowne,Mechanical,9,13,W/B,4554
6-Jun-20,512,12:49:00 AM,Saturday,LANSDOWNE AND ST.CLAIR,Mechanical,19,38,W/B,4541
6-Jun-20,501,1:38:00 AM,Saturday,CONNAUGHT AND QUEEN,Mechanical,1,1,W/B,4501
6-Jun-20,505,2:28:00 AM,Saturday,Leslie and Eastern,Investigation,1,2,S/B,4545
6-Jun-20,301,2:30:00 AM,Saturday,QUEEN AND SHERBOURNE,Investigation,24,48,E/B,4430
6-Jun-20,301,2:49:00 AM,Saturday,LONG BRANCH LOOP,Mechanical,8,13,W/B,4509
6-Jun-20,301,3:14:00 AM,Saturday,HUMBER LOOP,Mechanical,7,15,W/B,4515
6-Jun-20,504,5:38:00 AM,Saturday,Queern and Broadview,Held By,4,16,E/B,4568
6-Jun-20,509,5:44:00 AM,Saturday,Leslie Barns,Late Leaving Garage,10,20,W/B,4599
6-Jun-20,511,6:14:00 AM,Saturday,Exhibition Loop,Mechanical,9,18,N/B,1586
6-Jun-20,511,9:35:00 AM,Saturday,Bathurst Stn,Utilized Off Route,7,14,S/B,1137
6-Jun-20,511,11:59:00 AM,Saturday,Exhibition Loop,Utilized Off Route,5,10,N/B,1067
6-Jun-20,501,12:44:00 PM,Saturday,Humber Loop,Utilized Off Route,7,13,E/B,4513
6-Jun-20,501,1:11:00 PM,Saturday,Humber Loop,Utilized Off Route,9,18,E/B,4412
6-Jun-20,505,2:01:00 PM,Saturday,Dundas and Yonge,Held By,60,69,B/W,4561
6-Jun-20,511,2:51:00 PM,Saturday,Bathurst and Dundas,Diversion,14,19,B/W,1144
6-Jun-20,506,2:53:00 PM,Saturday,College and Major,Held By,15,23,B/W,4575
6-Jun-20,501,3:03:00 PM,Saturday,King / River,Investigation,6,13,W/B,4512
6-Jun-20,511,3:43:00 PM,Saturday,Bathurst STN,Utilized Off Route,5,10,S/B,1359
6-Jun-20,501,3:47:00 PM,Saturday,Humber Loop,Utilized Off Route,10,19,E/B,4530
6-Jun-20,505,4:13:00 PM,Saturday,Dundas and Dufferin,Held By,28,48,W/B,4595
6-Jun-20,510,4:17:00 PM,Saturday,Union STN,Mechanical,7,14,S/B,4439
6-Jun-20,512,4:38:00 PM,Saturday,Gunns Loop,Investigation,9,18,E/B,4590
6-Jun-20,505,4:59:00 PM,Saturday,Dundas and Bay,Held By,13,26,W/B,4455
6-Jun-20,504,6:30:00 PM,Saturday,Leslie and Queen Street,Mechanical,8,16,N/B,4597
6-Jun-20,511,10:03:00 PM,Saturday,Bathurst Station,Emergency Services,6,14,S/B,1137
6-Jun-20,505,11:21:00 PM,Saturday,Dundas W Station,Mechanical,20,40,E/B,4561
6-Jun-20,505,11:54:00 PM,Saturday,Dundas and Jarvis,Mechanical,9,19,W/B,4468
7-Jun-20,306,2:55:00 AM,Sunday,DUNDAS WEST STATION,Investigation,17,35,E/B,4421
7-Jun-20,501,4:23:00 AM,Sunday,LONG BRANCH LOOP,Investigation,15,30,E/B,4486
7-Jun-20,501,5:36:00 AM,Sunday,Humber Loop,Mechanical,17,0,E/B,4504
7-Jun-20,505,9:45:00 AM,Sunday,Broadview Station,Emergency Services,16,32,W/B,4440
7-Jun-20,504,10:04:00 AM,Sunday,Distillary Loop,Mechanical,7,14,W/B,4442
7-Jun-20,511,12:30:00 PM,Sunday,Bathurst STN,Utilized Off Route,5,10,S/B,1081
7-Jun-20,504,1:17:00 PM,Sunday,Dundas West Staion,Mechanical,8,16,E/B,4557
7-Jun-20,512,1:25:00 PM,Sunday,st.clair and yonge,Mechanical,6,12,W/B,4584
7-Jun-20,509,4:06:00 PM,Sunday,CNE Loop,Mechanical,1,1,E/B,4427
7-Jun-20,512,9:00:00 PM,Sunday,Gunns Loop,Mechanical,7,13,E/B,4584
7-Jun-20,501,10:05:00 PM,Sunday,Queen Shaw,Emergency Services,7,17,E/B,4422
7-Jun-20,510,11:43:00 PM,Sunday,SPADINA AND QUEENS QUAY,Investigation,20,30,W/B,4456
8-Jun-20,511,12:58:00 AM,Monday,Front/Portland,Mechanical,9,18,W/B,1137
8-Jun-20,512,1:54:00 AM,Monday,ST.CLAIR AND DUFFERIN,Mechanical,34,51,WB,4401
8-Jun-20,310,4:15:00 AM,Monday,spadina station,Investigation,11,26,S/B,4479
8-Jun-20,511,6:45:00 AM,Monday,Exhibition Loop,Mechanical,5,10,N/B,1057
8-Jun-20,504,7:46:00 AM,Monday,Distrillery Loop,Mechanical,5,15,W/B,4601
8-Jun-20,506,8:20:00 AM,Monday,Main Station,Mechanical,8,16,E/B,4574
8-Jun-20,511,1:50:00 PM,Monday,King and Bathurst,Investigation,4,8,S/B,1423
8-Jun-20,505,3:10:00 PM,Monday,Dundas West STN,Mechanical,9,18,W/B,4602
8-Jun-20,512,6:01:00 PM,Monday,St. Clair and Lansdowne,Mechanical,7,14,W/B,4582
8-Jun-20,504,6:21:00 PM,Monday,King/Wilson park rd,General Delay,16,22,E/B,4576
8-Jun-20,504,6:30:00 PM,Monday,King/Parliament,Investigation,1,1,E/B,4563
8-Jun-20,509,9:50:00 PM,Monday,EXHIBITION LOOP,Mechanical,9,18,E/B,4505
