Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
1-Mar-20,512,2:15:00 AM,Sunday,St.Clair Station,Mechanical,7,14,W/B,4510
1-Mar-20,306,2:46:00 AM,Sunday,Dundas West and Roncesvalles,Investigation,39,54,S/B,4419
1-Mar-20,304,4:04:00 AM,Sunday,King and Shaw,Investigation,1,1,W/B,4498
1-Mar-20,509,5:48:00 AM,Sunday,Bathurst and King,Mechanical,10,0,S/B,4479
1-Mar-20,504,10:07:00 AM,Sunday,Distillery loop,Emergency Services,12,20,N/B,4429
1-Mar-20,512,10:47:00 AM,Sunday,St. Clair and Christie,Mechanical,8,15,E/B,4527
1-Mar-20,510,12:47:00 PM,Sunday,Spadina and Lakeshore,Mechanical,65,69,bw,4453
1-Mar-20,509,12:55:00 PM,Sunday,Queens Quay and Spadina,Held By,52,59,E/B,4495
1-Mar-20,501,1:05:00 PM,Sunday,Queen/Connaught,Mechanical,7,14,E/B,4446
1-Mar-20,505,2:25:00 PM,Sunday,Dundas and McCaul,Investigation,1,1,W/B,9228
1-Mar-20,505,2:27:00 PM,Sunday,Dundas west station,Mechanical,5,10,W/B,1109
1-Mar-20,506,4:18:00 PM,Sunday,Main Station,Mechanical,1,2,E/B,4430
1-Mar-20,501,4:53:00 PM,Sunday,Queen / Leslie,Investigation,7,21,W/B,4446
1-Mar-20,501,5:01:00 PM,Sunday,Queen / Lockwood,Mechanical,7,14,W/B,4424
1-Mar-20,505,5:51:00 PM,Sunday,Broadview and danforth,Investigation,5,10,E/B,1092
1-Mar-20,506,6:48:00 PM,Sunday,Main Station,Mechanical,1,2,W/B,4445
1-Mar-20,504,7:28:00 PM,Sunday,Roncesvalles and Westminister,Held By,8,18,E/B,4490
1-Mar-20,511,7:48:00 PM,Sunday,CNE LOOP,Emergency Services,9,18,N/B,4500
1-Mar-20,501,8:17:00 PM,Sunday,QUEEN AND CHURCH,Investigation,15,25,W/B,4424
1-Mar-20,505,8:44:00 PM,Sunday,DUNDAS WEST STN,Investigation,8,16,S/B,1103
1-Mar-20,506,9:01:00 PM,Sunday,College and Major,Mechanical,1,2,W/B,4576
1-Mar-20,505,9:24:00 PM,Sunday,DUNDAS AND SHERBOURNE,Investigation,8,16,W/B,1049
1-Mar-20,501,9:56:00 PM,Sunday,queen and dovercourt,Emergency Services,14,24,W/B,4476
2-Mar-20,54,12:33:00 AM,Monday,NEVILLE LOOP,Mechanical,10,20,W/B,4528
2-Mar-20,501,4:35:00 AM,Monday,Queen & connaught,Mechanical,12,26,W/B,4598
2-Mar-20,512,5:00:00 AM,Monday,Bathurst at St Claire,Late Leaving Garage,6,12,W/B,4506
2-Mar-20,504,7:39:00 AM,Monday,Jarvis and King,Investigation,31,12,E/B,4514
2-Mar-20,504,9:13:00 AM,Monday,Spadina and King,Mechanical,5,10,W/B,4560
2-Mar-20,501,9:20:00 AM,Monday,Queen & Gladstone,Emergency Services,11,17,W/B,4441
2-Mar-20,512,9:55:00 AM,Monday,St Clair/Earlscourt,Investigation,4,9,W/B,4545
2-Mar-20,506,10:10:00 AM,Monday,College and Dovercourt,Mechanical,8,16,W/B,4436
2-Mar-20,504,2:08:00 PM,Monday,Broadview / Langley,Investigation,7,72,N/B,4579
2-Mar-20,505,2:10:00 PM,Monday,Broadview and Langley,Investigation,4,8,S/B,1074
2-Mar-20,501,2:24:00 PM,Monday,Glendale / Queensway,Emergency Services,11,18,W/B,4461
2-Mar-20,504,3:56:00 PM,Monday,King / Charlotte,Mechanical,0,0,E/B,4560
2-Mar-20,512,4:29:00 PM,Monday,Oakwood and St.Clair,Investigation,3,8,W/B,4583
2-Mar-20,504,8:59:00 PM,Monday,King and Bathurst,Mechanical,8,16,E/B,4594
3-Mar-20,501,5:07:00 AM,Tuesday,Roncesvalles and The Queensway,Mechanical,14,23,W/B,4450
3-Mar-20,505,5:49:00 AM,Tuesday,Spadina,Emergency Services,73,77,E/B,1411
3-Mar-20,506,6:21:00 AM,Tuesday,Coxwell and Gerrard,Late Leaving Garage,10,0,E/B,4461
3-Mar-20,505,6:59:00 AM,Tuesday,DWS,Mechanical,4,8,E/B,8589
