Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Nov-20,506,03:26,Sunday,DUNDAS WEST STATION,Mechanical,20,40,E,8578
1-Nov-20,501,05:10,Sunday,QUEEN AND CONNAUGHT,Operations,10,20,W,4442
1-Nov-20,,05:35,Sunday,LESLIE AND NORTH SERVI,Emergency Services,0,0,,4524
1-Nov-20,512,06:41,Sunday,ST CLAIR AND DEER PARK,Operations,21,30,E,4470
1-Nov-20,500,08:00,Sunday,TRANSIT CONTROL,General Delay,0,0,,0
1-Nov-20,505,10:20,Sunday,DUNDAS AND SHERBOURNE,Held By,14,21,W,4586
1-Nov-20,501,10:40,Sunday,QUEEN AND BATHURST,Held By,5,10,E,4602
1-Nov-20,510,11:55,Sunday,QUEEN'S QUAY AND SPADI,Cleaning,7,14,N,4505
1-Nov-20,510,11:58,Sunday,QUEEN'S QUAY AND SPADI,Cleaning,7,14,S,4429
1-Nov-20,510,12:16,Sunday,EXHIBITION LOOP,Cleaning,6,12,S,4456
1-Nov-20,510,12:24,Sunday,EXHIBITION LOOP,Cleaning,6,12,S,4528
1-Nov-20,510,12:45,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,0
1-Nov-20,510,13:27,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,77772
1-Nov-20,510,14:05,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4583
1-Nov-20,510,14:26,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4436
1-Nov-20,510,15:00,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4496
1-Nov-20,505,15:09,Sunday,DUNDAS AND LANSDOWNE,Held By,65,72,W,4593
1-Nov-20,510,15:21,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4480
1-Nov-20,504,15:33,Sunday,KING AND DUFFERIN,Operations,24,33,W,4498
1-Nov-20,511,15:37,Sunday,BATHURST AND DUNDAS,Utilized Off Route,5,11,S,1281
1-Nov-20,510,15:56,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4446
1-Nov-20,506,15:57,Sunday,COLLEGE AND DUFFERIN,Utilized Off Route,7,14,W,1412
1-Nov-20,510,16:03,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4566
1-Nov-20,510,16:32,Sunday,EXHIBITION LOOP,Cleaning,6,12,S,4501
1-Nov-20,510,16:35,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,79596
1-Nov-20,510,16:56,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4502
1-Nov-20,509,17:18,Sunday,EXHIBITION LOOP,Late,7,14,W,4573
1-Nov-20,510,17:29,Sunday,SPADINA AND QUEEN'S QU,Cleaning,6,12,S,4536
1-Nov-20,506,18:36,Sunday,DUNDAS WEST STATION,Mechanical,8,16,E,3477
1-Nov-20,506,18:48,Sunday,DUNDAS WEST STATION,Mechanical,8,16,E,3477
1-Nov-20,501,21:29,Sunday,LAKESHORE AND 37TH,Held By,60,70,W,4596
1-Nov-20,505,22:38,Sunday,PARLIAMENT AND DUNDAS,Emergency Services,5,10,S,4563
1-Nov-20,501,23:30,Sunday,QUEEN AND NEVILLE PARK,Cleaning,5,10,W,4428
2-Nov-20,301,03:41,Monday,QUEEN AND BROCK,General Delay,8,16,E,4497
2-Nov-20,301,04:38,Monday,LAKE SHORE AND KIPLING,General Delay,5,20,W,4537
2-Nov-20,501,04:40,Monday,QUEEN AND CONNAUGHT,Security,0,0,W,4443
2-Nov-20,301,04:53,Monday,LAKE SHORE AND KIPLING,General Delay,15,20,W,4585
2-Nov-20,506,06:11,Monday,COLLEGE AND LANSDOWNE,Cleaning,5,10,W,1550
2-Nov-20,511,06:15,Monday,EXHIBITION LOOP,Mechanical,5,10,E,1016
2-Nov-20,506,08:24,Monday,GERRARD AND WOODBINE,General Delay,0,0,W,8503
2-Nov-20,506,08:30,Monday,DUNDWAS WEST STATION,General Delay,0,0,E,0
2-Nov-20,505,09:19,Monday,DUNDAS AND RIVER,Security,11,19,E,4510
2-Nov-20,504,09:32,Monday,DUNDAS WEST STATION,Operations,8,14,E,0
2-Nov-20,504,09:50,Monday,DUNDAS WEST STATION,Operations,4,16,E,4540
2-Nov-20,501,10:56,Monday,QUEEN AND CARROLL,Mechanical,10,20,E,4447
2-Nov-20,506,11:29,Monday,MAIN STREET STATION,Operations,6,12,W,8407
2-Nov-20,506,12:23,Monday,DUNDAS WEST STATION,Operations,6,12,S,8469
2-Nov-20,504,14:29,Monday,DISTILLERY LOOP,Emergency Services,13,19,W,4567
2-Nov-20,506,16:04,Monday,DUNDAS WEST STATION,Mechanical,0,0,E,1550
2-Nov-20,505,16:31,Monday,DUNDAS AND RIVER,Investigation,817,827,,4539
2-Nov-20,506,17:20,Monday,DUNDAS AND ONTARIO,Investigation,326,332,W,1056
2-Nov-20,505,17:45,Monday,DUNDAS AND MCCAUL,Operations,53,60,W,4473
2-Nov-20,506,18:30,Monday,MAIN STREET STATION,Mechanical,8,16,E,1402
2-Nov-20,503,18:55,Monday,CHARLOTTE LOOP,Operations,10,20,E,0
2-Nov-20,506,19:40,Monday,MAIN STREET STATION,Mechanical,6,12,E,1420
2-Nov-20,506,22:30,Monday,DUNDAS WEST STATION,Utilized Off Route,10,20,W,8469
2-Nov-20,501,00:00,Monday,QUEEN AND SPADINA,Operations,16,26,E,4450
2-Nov-20,510,00:09,Monday,SPADINA AND QUEEN,Security,9,18,S,4533
2-Nov-20,504,00:24,Monday,BROADVIEW AND VICTOR,Collision - TTC Involved,46,56,S,4454
2-Nov-20,505,00:43,Monday,BROADVIEW AND VICTOR,Collision - TTC Involved,9,17,S,4593
3-Nov-20,505,02:06,Tuesday,LESLIE AND COMMISSIONE,Emergency Services,0,0,S,4598
3-Nov-20,301,04:28,Tuesday,LONG BRANCH LOOP,Operations,14,19,E,4401
3-Nov-20,301,04:38,Tuesday,LONG BRANCH LOOP,Operations,5,20,E,4579
3-Nov-20,510,05:57,Tuesday,SPADINA AND DUNDAS,Collision - TTC Involved,17,32,S,4481
3-Nov-20,500,06:00,Tuesday,TORONTO TRANSIT COMMIS,General Delay,0,0,,0
3-Nov-20,506,06:25,Tuesday,DUNDAS AND STERLING,Operations,11,18,E,1087
3-Nov-20,RAD,06:37,Tuesday,QUEEN AND SPADINA,Operations,17,32,W,4448
3-Nov-20,501,06:37,Tuesday,QUEEN AND SPADINA,Held By,9,19,W,4487
3-Nov-20,506,07:45,Tuesday,COLLEGE AND LANSDOWNE,Operations,5,10,W,1145
