Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Oct-20,504,05:31,Thursday,SUNNYSIDE LOOP,Emergency Services,5,10,,4567
1-Oct-20,506,08:23,Thursday,DUNDAS WEST STATION,Cleaning,5,10,E,1586
1-Oct-20,505,08:54,Thursday,PARLIAMENT ON DUNDAS,Emergency Services,13,21,S,4565
1-Oct-20,511,13:11,Thursday,BATHURST STATION,Operations,4,8,S,1019
1-Oct-20,501,13:41,Thursday,QUEEN AND EMPIRE,Held By,140,150,B,4422
1-Oct-20,503,13:42,Thursday,QUEEN AND DEGRASSI,Held By,10,20,E,4501
1-Oct-20,503,13:42,Thursday,QUEEN AND EMPIRE,Held By,20,30,W,4444
1-Oct-20,504,14:21,Thursday,QUEEN AND BROADVIEW,Utilized Off Route,8,16,W,4510
1-Oct-20,506,14:30,Thursday,MAIN STATION,Operations,6,12,W,1239
1-Oct-20,512,14:33,Thursday,ST. CLAIR AND DUFFERIN,Investigation,7,17,E,4522
1-Oct-20,504,14:34,Thursday,QUEEN AND BOOTH,Held By,8,16,W,4479
1-Oct-20,505,14:55,Thursday,DUNDAS AND BROADVIEW,Held By,8,16,W,4574
1-Oct-20,511,15:00,Thursday,SPADINA AND FRONT,General Delay,0,0,N,0
1-Oct-20,501,16:37,Thursday,KIPLING N OF LAKESHORE,Collision - TTC Involved,15,25,N,4504
1-Oct-20,503,17:02,Thursday,QUEEN AND JONES,Security,8,16,E,4414
1-Oct-20,505,17:29,Thursday,DUNDAS AND BAY,Security,8,16,W,4545
1-Oct-20,506,17:51,Thursday,CARLTON AND ONTARIO,Security,9,18,W,3740
1-Oct-20,505,17:53,Thursday,DUNDAS AND BROADVIEW,Operations,8,16,W,4547
1-Oct-20,501,19:04,Thursday,LAKESHORE AND 31ST STR,Held By,48,58,E,4507
1-Oct-20,501,20:18,Thursday,NEVILLE LOOP,Emergency Services,0,0,W,4505
1-Oct-20,511,20:18,Thursday,BATHURST AND BLOOR,Investigation,9,18,S,3565
1-Oct-20,512,20:24,Thursday,BATHURST AND S OF VAUG,Emergency Services,0,0,S,4405
1-Oct-20,512,21:09,Thursday,OAKWOOD LOOP,Security,8,16,,4405
1-Oct-20,501,21:27,Thursday,KING AND DUFFERIN,Security,8,16,W,4432
1-Oct-20,512,22:09,Thursday,ST. CLAIR STATION,Security,25,36,W,4440
1-Oct-20,501,22:33,Thursday,LONGBRANCH LOOP,Emergency Services,32,42,,4575
1-Oct-20,501,23:17,Thursday,NEVILLE PARK LOOP,Emergency Services,19,29,,4558
2-Oct-20,506,08:07,Friday,DUNDAS WEST STATION,Mechanical,10,20,,1281
2-Oct-20,503,08:11,Friday,QUEEN AND KING,Emergency Services,10,20,W,4519
2-Oct-20,501,10:38,Friday,QUEEN AND LANSDOWNE,Emergency Services,10,20,E,4524
2-Oct-20,504,10:47,Friday,KING AND CHURCH,Operations,7,14,E,4538
2-Oct-20,505,13:14,Friday,DUNDAS AND RUSHOLME,Mechanical,46,54,W,4519
2-Oct-20,509,14:00,Friday,QUEENS QUAY AND REES,Collision - TTC Involved,60,68,W,4578
2-Oct-20,505,14:32,Friday,DUNDAS AND REGENT PARK,Cleaning,8,16,E,79820
2-Oct-20,505,15:15,Friday,DUNDAS AND SACKVILLE,Overhead,36,44,E,4600
2-Oct-20,510,15:39,Friday,SPADINA AND QUEEN'S QU,Utilized Off Route,6,11,N,4578
2-Oct-20,506,16:08,Friday,MAIN STREET STATION,Operations,6,12,E,8544
2-Oct-20,511,16:20,Friday,BATHURST AND BLOOR,Collision - TTC Involved,4,7,N,1521
2-Oct-20,504,16:22,Friday,RONCESVALLES AND MARIO,Operations,8,16,S,4462
2-Oct-20,501,17:08,Friday,LONG BRANCH LOOP,Security,34,44,E,4402
2-Oct-20,506,18:01,Friday,DUNDAS WEST STATION,Operations,6,12,E,1037
2-Oct-20,511,18:02,Friday,BATHURST STATION,Operations,3,7,S,1406
2-Oct-20,505,18:27,Friday,DUNDAS AND BROADVIEW,Late,8,16,W,0
2-Oct-20,506,18:28,Friday,DUNDAS WEST STATION,Mechanical,6,12,E,8519
2-Oct-20,505,19:49,Friday,DUNDAS AND RIVER,Emergency Services,18,26,E,4551
2-Oct-20,510,20:32,Friday,SPADINA AND HARBORD,Security,10,20,S,4574
2-Oct-20,501,20:41,Friday,NEVILLE LOOP,Cleaning,10,20,W,4482
2-Oct-20,511,21:15,Friday,BATHURST STATION,Security,5,10,S,1008
2-Oct-20,511,21:38,Friday,DUNDAS AND SPADINA,Security,5,10,E,1104
2-Oct-20,504,22:17,Friday,KING AND SUDBURY,Security,18,28,W,4451
2-Oct-20,504,23:20,Friday,DISTILLERY LOOP,Cleaning,10,20,W,4502
2-Oct-20,501,00:55,Friday,NEVILLE PARK LOOP,Cleaning,10,20,W,4477
3-Oct-20,501,02:42,Saturday,QUEEN AND PARLIAMENT (,Emergency Services,16,32,E,4507
3-Oct-20,306,02:58,Saturday,MAIN STATION,Operations,20,40,E,3109
3-Oct-20,310,03:08,Saturday,SPADINA AND COLLEGE,Security,18,33,N,4595
3-Oct-20,304,03:31,Saturday,DUNDAS AND BLOOR,Security,10,25,N,4538
3-Oct-20,304,04:07,Saturday,RONCESVALLES CAR HOUSE,Security,15,30,,4451
3-Oct-20,506,09:13,Saturday,MAIN STREET STATION,Cleaning,10,20,E,8962
3-Oct-20,512,10:00,Saturday,ST CLAIR AND LANSDOWNE,Mechanical,9,18,W,4439
3-Oct-20,510,10:35,Saturday,QUEEN'S QUAY AND SPADI,Operations,8,16,N,4601
