Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Feb-21,304,02:36,Monday,KING AND SHAW,Emergency Services,7,14,E,1273
1-Feb-21,510,03:41,Monday,QUEENS QUAY STATION,Security,24,39,N,4561
1-Feb-21,506,06:02,Monday,GERRARD AND PARLIAMENT,Security,8,16,W,8874
1-Feb-21,504,06:59,Monday,RONCESVALLES AND MARIO,Mechanical,3,6,N,1067
1-Feb-21,504,07:56,Monday,RONCESVALLES AND BOUST,Cleaning,3,6,E,1058
1-Feb-21,504,08:12,Monday,INDUSTRY AND RAY,Mechanical,3,6,W,1618
1-Feb-21,506,08:54,Monday,MAIN STREET STATION,Mechanical,4,8,E,8780
1-Feb-21,512,10:20,Monday,ST CLAIR AND BATHURST,Operations,5,10,E,4408
1-Feb-21,511,10:58,Monday,FLEET AND BASTIAN,Operations,7,14,S,4514
1-Feb-21,510,11:14,Monday,SPADINA STATION,Emergency Services,11,16,S,4524
1-Feb-21,501,11:19,Monday,QUEEN AND CONNAUGHT,Operations,7,14,E,4447
1-Feb-21,505,11:24,Monday,DUNDAS AND EDNA,Held By,0,0,E,4595
1-Feb-21,504,12:32,Monday,BROADVIEW AND QUEEN,Operations,7,15,E,4563
1-Feb-21,512,13:00,Monday,ST CLAIR AND OAKWOOD,Operations,14,19,E,4400
1-Feb-21,506,13:11,Monday,COLLEGE AND LANSDOWNE,Operations,7,14,E,4490
1-Feb-21,501,13:24,Monday,PARKLAWN LOOP,Mechanical,7,14,E,1111
1-Feb-21,504,13:38,Monday,QUEEN AND BROADVIEW,Operations,6,12,E,4555
1-Feb-21,506,13:54,Monday,GERRARD AND CARLAW,Security,7,14,E,1393
1-Feb-21,501,14:01,Monday,PARKLAWN LOOP,Operations,7,14,E,8556
1-Feb-21,504,14:30,Monday,KING AND DUFFERIN,Mechanical,5,10,E,1109
1-Feb-21,505,15:42,Monday,OSSINGTON AND DUNDAS,Emergency Services,8,16,N,4407
1-Feb-21,506,15:58,Monday,CHURCH AND CARLTON,Collision - TTC Involved,6,12,N,8806
1-Feb-21,501,17:11,Monday,QUEEN AND GREENWOOD,Held By,16,26,W,4458
1-Feb-21,509,17:18,Monday,EXHIBITION LOOP,Late,8,16,W,4537
1-Feb-21,512,20:22,Monday,ST CLAIR AND YONGE,Mechanical,7,14,W,4462
1-Feb-21,512,21:10,Monday,ST CLAIR AND OAKWOOD,Utilized Off Route,8,15,,4483
1-Feb-21,504,00:17,Monday,KING AND JARVIS,Operations,10,20,W,4544
1-Feb-21,501,00:25,Monday,QUEEN AND JARVIS,Mechanical,6,12,W,1079
1-Feb-21,501,00:52,Monday,QUEEN AND SPRUCE HILL,Emergency Services,44,54,E,4459
1-Feb-21,501,00:57,Monday,QUEEN AND JARVIS,Utilized Off Route,6,12,W,1625
