Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021/06/01,511,05:25,Tuesday,BATHURST AND KING,Mechanical,8,16,S,4603
2021/06/01,504,06:40,Tuesday,EXHIBITION LOOP,Operations,7,14,E,8347
2021/06/01,505,06:51,Tuesday,BROADVIEW AND QUEEN,Cleaning,8,16,W,4446
2021/06/01,501,08:19,Tuesday,BROADVIEW AND QUEEN,Mechanical,7,14,E,8936
2021/06/01,505,09:25,Tuesday,250 ST PATRICK ST,Cleaning,8,16,W,4561
2021/06/01,501,13:15,Tuesday,PARKSIDE AND THE QUEEN,Collision - TTC Involved,9,18,W,8926
2021/06/01,501,14:10,Tuesday,QUEEN AND RONCESVALLES,Operations,9,18,E,0
2021/06/01,501,14:20,Tuesday,QUEEN AND RONCESVALLES,Utilized Off Route,9,19,W,8788
2021/06/01,501,14:44,Tuesday,QUEEN AND RONCESVALLES,Operations,9,17,E,8550
2021/06/01,501,14:58,Tuesday,QUEEN AND YONGE,Collision - TTC Involved,9,16,E,1423
2021/06/01,501,16:23,Tuesday,MT DENNIS GARAGE,General Delay,8,17,W,1139
2021/06/01,501,16:54,Tuesday,QUEEN AND CARROLL,Held By,37,45,E,4507
2021/06/01,503,17:01,Tuesday,QUEEN AND CARROLL,Held By,35,9,W,4554
2021/06/01,501,17:09,Tuesday,QUEEN AND RONCESVALLES,Operations,9,17,W,8556
2021/06/01,501,18:00,Tuesday,QUEEN AND RONCESVALLES,Operations,9,17,W,0
2021/06/01,509,18:14,Tuesday,FLEET AND STRACHAN,Cleaning,8,16,E,4415
2021/06/01,501,19:24,Tuesday,QUEEN AND RONCESVALLES,Operations,8,17,E,0
2021/06/01,506,19:27,Tuesday,COLLEGE AND SPADINA,Mechanical,6,12,E,8467
2021/06/01,501,19:43,Tuesday,GERRARD AND MUNRO,Collision - TTC Involved,7,14,W,8654
2021/06/01,501,21:20,Tuesday,BROADVIEW AND GERRARD,Utilized Off Route,7,14,E,8854
