Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Mar-21,504,02:01,Monday,CONNAUGHT AND QUEEN,Security,0,0,S,4570
1-Mar-21,301,02:05,Monday,RUSSELL TRAILER TRACK,Emergency Services,19,29,,4483
1-Mar-21,301,04:58,Monday,LONG BRANCH LOOP,Emergency Services,0,0,,3171
1-Mar-21,501,08:21,Monday,NEVILLE LOOP,Emergency Services,25,32,,4507
1-Mar-21,510,08:57,Monday,SPADINA AND QUEEN,Mechanical,10,17,S,4501
1-Mar-21,505,09:38,Monday,DUNDAS AND SHAW,Security,8,16,W,1139
1-Mar-21,506,10:06,Monday,COLLEGE AND DUFFERIN,Investigation,92,100,B,4460
1-Mar-21,501,10:56,Monday,QUEEN AND SPADINA,Cleaning,7,14,N,4576
1-Mar-21,503,11:21,Monday,QUEEN AND COXWELL,Collision - TTC Involved,10,20,E,4544
1-Mar-21,510,12:16,Monday,SPADINA AND QUEENS QUA,Cleaning,7,14,N,4443
1-Mar-21,510,12:39,Monday,SPADINA AND QUEENS QUA,Cleaning,7,14,N,4448
1-Mar-21,510,13:01,Monday,SPADINA AND QUEENS QUA,Cleaning,7,14,N,4529
1-Mar-21,510,13:47,Monday,QUEENS QUAY AND LOWER,Cleaning,7,14,N,4501
1-Mar-21,505,14:09,Monday,DUNDAS AND LANSDOWNE,Mechanical,7,14,W,4455
1-Mar-21,510,14:40,Monday,SPADINA AND QUEENS QUA,Cleaning,7,14,N,4449
1-Mar-21,504,14:54,Monday,KING AND PORTLAND,Security,26,33,E,4559
1-Mar-21,501,15:48,Monday,QUEEN AND O'HARA,Operations,7,14,W,8914
1-Mar-21,509,16:48,Monday,FLEET LOOP,Emergency Services,10,20,E,4579
1-Mar-21,501,17:27,Monday,LAKE SHORE AND SUPERIO,Collision - TTC Involved,7,14,W,9209
1-Mar-21,505,18:45,Monday,DUNDAS AND CHURCH,Security,7,14,E,4468
1-Mar-21,510,19:28,Monday,SPADINA STATION,Emergency Services,7,15,,4598
1-Mar-21,501,20:58,Monday,QUEEN AND BROADVIEW,Cleaning,8,16,E,4458
1-Mar-21,504,21:52,Monday,PARLIAMENT AND KING,Security,4,8,N,4567
1-Mar-21,501,23:09,Monday,MCCAUL LOOP,Cleaning,9,18,E,4509
1-Mar-21,510,23:41,Monday,CHARLOTTE LOOP,Security,8,16,,4598
1-Mar-21,506,00:25,Monday,COLLEGE AND LANSDOWNE,Security,6,12,E,4536
2-Mar-21,506,06:21,Tuesday,COLLEGE AND MCCAUL,Mechanical,7,14,W,4498
2-Mar-21,501,06:24,Tuesday,LAKE SHORE AND WINDERM,Mechanical,4,7,E,1261
2-Mar-21,506,06:55,Tuesday,COLLEGE AND OSSINGTON,General Delay,8,15,E,4524
2-Mar-21,510,07:37,Tuesday,SPADINA AND COLLEGE,Cleaning,9,17,N,4552
2-Mar-21,504,08:06,Tuesday,KING AND BATHURST,Security,6,12,E,4575
2-Mar-21,510,08:21,Tuesday,SPADINA STATION,Cleaning,6,12,S,4535
2-Mar-21,504,08:53,Tuesday,DUFFERIN LOOP,Cleaning,0,0,,4559
2-Mar-21,504,08:59,Tuesday,EXHIBITION LOOP,Cleaning,6,12,E,4559
2-Mar-21,504,09:47,Tuesday,SPRINGHURST LOOP,Cleaning,6,12,W,4479
2-Mar-21,501,10:10,Tuesday,88 PALACE PIER CT,Mechanical,8,16,W,3167
2-Mar-21,511,10:40,Tuesday,EXHIBITION LOOP,Mechanical,7,14,S,4464
2-Mar-21,506,10:56,Tuesday,MAIN STREET STATION,Cleaning,5,10,W,1318
2-Mar-21,505,11:06,Tuesday,DUNDAS WEST STATION,Emergency Services,8,16,W,4408
2-Mar-21,506,11:16,Tuesday,MAIN STREET STATION,Cleaning,5,10,W,3479
2-Mar-21,505,11:19,Tuesday,DUNDAS AND LANSDOWNE,Held By,8,16,E,4476
2-Mar-21,501,11:38,Tuesday,MCCAUL LOOP,Emergency Services,37,43,,4457
2-Mar-21,504,12:08,Tuesday,RONCESVALLES AND QUEEN,Mechanical,6,12,E,1503
2-Mar-21,506,12:26,Tuesday,MAIN STREET STATION,Cleaning,5,10,E,1340
2-Mar-21,506,13:41,Tuesday,GERRARD AND BROADVIEW,Operations,15,22,E,4452
