Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
1-Sep-21,501,02:31,Wednesday,BROADVIEW AND GERRARD,Utilized Off Route,15,30,W,8561
1-Sep-21,501,02:39,Wednesday,CHAROLETTE LOOP,Emergency Services,0,0,W,4560
1-Sep-21,301,03:14,Wednesday,LONG BRANCH LOOP,Mechanical,30,60,N,7913
1-Sep-21,504,04:55,Wednesday,WILSON GARAGE,Operations,4,8,,0
1-Sep-21,504,05:36,Wednesday,DUNDAS WEST STATION,Operations,5,10,,0
1-Sep-21,505,05:45,Wednesday,DUNDAS AND BEVERLY,Cleaning - Unsanitary,8,16,W,4483
1-Sep-21,504,05:53,Wednesday,BROADVIEW AND GERRARD,Security,6,10,W,1098
1-Sep-21,506,06:34,Wednesday,MAIN STREET STATION,General Delay,25,33,S,4444
1-Sep-21,504,08:50,Wednesday,BROADVIEW STATION,Operations,5,10,,0
1-Sep-21,501,10:02,Wednesday,GERRARD AND BROADVIEW,Operations,0,0,W,8488
1-Sep-21,506,10:25,Wednesday,COLLEGE AND LANSDOWNE,Operations,8,16,,4587
1-Sep-21,509,12:15,Wednesday,QUEENS QUAY AND REES,General Delay,16,26,E,4493
1-Sep-21,506,12:15,Wednesday,CARLTON ROUTE,Operations,8,16,,4456
1-Sep-21,512,12:37,Wednesday,ST CLAIR STATION,Operations,6,12,W,0
1-Sep-21,510,12:46,Wednesday,SPADINA STATION,Operations,6,12,S,4427
1-Sep-21,501,13:00,Wednesday,QUEEN AND SPADINA,General Delay,0,0,,8596
1-Sep-21,501,13:11,Wednesday,DUNDAS AND MCCAUL TO U,Investigation,0,17,E,7965
1-Sep-21,510,13:33,Wednesday,SPADINA AND COLLEGE,Operations,11,17,S,4553
1-Sep-21,504,13:37,Wednesday,BROADVIEW STATION,General Delay,5,7,,1081
1-Sep-21,506,13:38,Wednesday,COLLEGE AND UNIVERSITY,Held By,15,23,E,4547
1-Sep-21,506,14:00,Wednesday,ENTIRE ROUTE,Held By,22,13,W,4514
1-Sep-21,505,14:19,Wednesday,DUNDAS AND YONGE,Held By,11,19,,4461
1-Sep-21,505,14:43,Wednesday,BAY AND DUNDAS,General Delay,0,0,,0
1-Sep-21,501,14:52,Wednesday,QUEEN AND WOODFIELD,Operations,8,16,,0
1-Sep-21,501,14:52,Wednesday,QUEEN AND WOODFIELD,Operations,8,16,W,0
1-Sep-21,506,15:00,Wednesday,COLLEGE AND UNIVERSITY,Held By,15,23,,4514
1-Sep-21,501,15:16,Wednesday,QUEEN AND RONCESVALLES,Cleaning - Unsanitary,9,19,W,8077
1-Sep-21,501,15:38,Wednesday,GERRARD AND BROADVIEW,Operations,9,17,W,0
1-Sep-21,512,15:50,Wednesday,ST CLAIR STATION,Operations,6,12,E,4425
1-Sep-21,501,15:51,Wednesday,GERRARD AND BROADVIEW,Mechanical,10,19,W,8809
1-Sep-21,501,15:54,Wednesday,BROADVIEW AND GERRARD,Operations,9,17,W,8628
1-Sep-21,501,16:07,Wednesday,LAKE SHORE AND LEGION,Operations,9,17,W,7972
1-Sep-21,512,17:15,Wednesday,ST CLAIR STATION,Operations,6,12,S,4552
1-Sep-21,501,17:26,Wednesday,QUEEN AND GREENWOOD,Operations,8,16,E,0
1-Sep-21,501,17:29,Wednesday,QUEEN AND GREENWOOD,Operations,8,16,E,4405
1-Sep-21,511,17:34,Wednesday,BATHURST STATION,Operations,8,16,S,0
1-Sep-21,501,17:44,Wednesday,QUEEN AND RONCESVALLES,Operations,8,17,S,8070
1-Sep-21,504,17:55,Wednesday,ENTIRE ROUTE,General Delay,10,15,,0
1-Sep-21,506,18:13,Wednesday,COLLEGE AND LANSDOWNE,Operations,8,17,W,4557
